REGIAO:;CO
UF:;GO
ESTACAO:;CAIAPONIA
CODIGO (WMO):;A023
LATITUDE:;-16,96694443
LONGITUDE:;-51,81749999
ALTITUDE:;740,1
DATA DE FUNDACAO:;21/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;932,5;;;891,2;24,7;16,3;;;;;;;59;185;;,6;
2021/01/01;1200 UTC;;932,7;932,8;932,5;2180,4;27,2;15;27,9;24,7;17,3;14,3;62;46;47;155;2,1;,2;
2021/01/01;1300 UTC;;932,6;932,8;932,6;2951,3;28,9;16;29,2;27,2;17,3;15,6;54;44;46;112;3,2;,6;
2021/01/01;1400 UTC;;932,3;932,6;932,3;3472,2;30,2;16,6;30,9;28,9;17,9;16,1;48;42;44;275;3,2;,4;
2021/01/01;1500 UTC;;932;932,4;932;4017,8;31,8;16,2;32,8;30,2;17,7;14,1;45;34;39;310;3,6;,6;
2021/01/01;1600 UTC;;931,7;932;931,6;2345,5;26,5;15,6;32,6;26,5;16,5;13,8;52;33;51;352;8,1;4,6;
2021/01/01;1700 UTC;;930,7;931,8;930,7;1428,8;25,9;18,6;26,5;22,6;18,9;15,3;74;51;64;322;9,5;1,9;
2021/01/01;1800 UTC;;929,3;930,7;929,3;2379,7;30,5;16,4;30,8;25,9;18,9;16,4;64;42;43;348;3,4;1;
2021/01/01;1900 UTC;;928,6;929,3;928,6;1796,7;30,3;17,8;30,7;29,4;18,1;15,2;49;40;47;104;4,2;1,8;
2021/01/01;2000 UTC;;928,1;928,6;928;1390;29,5;16,8;30,3;29,3;17,7;16,5;48;44;47;80;4;,2;
2021/01/01;2100 UTC;;928,6;928,6;928;323,7;29,8;16,9;29,8;29,5;17,2;16,2;47;44;46;91;2,1;0;
2021/01/01;2200 UTC;;929,7;929,7;928,6;47,2;27,5;18,4;29,8;27,5;18,5;16,6;58;45;58;92;3,5;1,4;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1200 UTC;;930,4;930,4;930,1;1740,2;27,2;17,4;27,9;25,1;18,6;15,9;66;49;55;161;3,1;1,3;
2021/01/02;1300 UTC;;930,5;930,6;930,4;1621,2;29;16,8;29;27,2;17,9;16,3;56;47;48;200;2,6;,2;
2021/01/02;1400 UTC;;930,3;930,6;930,3;3595,5;30,6;15;31,9;29;17,4;14,7;48;37;39;230;2,9;,5;
2021/01/02;1500 UTC;;929,7;930,3;929,7;3835,2;32;18;32,4;30,1;18,3;14,8;45;38;44;209;3,9;1,1;
2021/01/02;1600 UTC;;929;929,7;929;3014,9;28,3;17,5;33,1;27,3;18,4;15,2;53;35;52;317;10,3;2,8;
2021/01/02;1700 UTC;;927,5;929;927,5;1809,2;31,6;15,7;31,6;28,3;18,2;15,1;53;37;38;271;5,3;,5;
2021/01/02;1800 UTC;;927,2;927,5;927;2007,3;28,8;17,7;33;28,5;17,8;13,8;52;32;51;96;7,4;2,9;
2021/01/02;1900 UTC;;926,2;927,2;926,2;991;28,2;17,5;29,1;27,6;18,6;17,2;55;51;52;91;7,4;,2;
2021/01/02;2000 UTC;;925,7;926,2;925,5;943,5;27,5;18,4;28,4;26,7;18,6;17,1;59;51;58;172;8;2,6;
2021/01/02;2100 UTC;;926;926,1;925,7;280,2;26,4;17,9;27,5;26,3;18,5;17,6;60;57;60;194;6,6;,5;
2021/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;1200 UTC;;928,5;928,5;928,2;2355;27,8;19,2;28,2;24,7;19,6;17,9;72;55;59;251;2,2;,8;
2021/01/03;1300 UTC;;928,6;928,6;928,5;3004,5;29,2;17,2;29,5;27,8;19,1;15,9;59;46;49;327;5,9;2,7;
2021/01/03;1400 UTC;;928,3;928,6;928,3;3610,6;29,9;16,9;30,4;28,9;17,9;16;50;43;46;322;8,7;3,5;
2021/01/03;1500 UTC;;927,9;928,3;927,9;3245,1;28,9;17,4;30,9;28,9;19,3;16,8;52;45;50;339;8,7;3,4;
2021/01/03;1600 UTC;;926,9;927,9;926,9;2984,6;30,5;17,3;31;28,8;18,7;16,3;51;44;45;316;8,3;2,8;
2021/01/03;1700 UTC;;925,8;926,9;925,8;3408,4;30,7;18;31,5;29,8;18,9;16,6;50;42;47;313;7,9;3,6;
2021/01/03;1800 UTC;;925,4;925,8;925,4;2749,8;31,2;18,2;31,5;30,3;19,1;16,9;51;43;46;315;8,4;3,3;
2021/01/03;1900 UTC;;924,9;925,4;924,9;1755;30,1;19,2;31,6;29,8;19,2;16,5;52;44;52;343;6,6;3;
2021/01/03;2000 UTC;;924,9;924,9;924,6;763,7;27,9;18,4;30,2;27,6;19,6;18,4;61;52;56;341;8,1;2,7;
2021/01/03;2100 UTC;;924,8;924,9;924,7;396,4;27,8;19,6;27,9;27,6;19,9;17,8;62;55;61;322;6,2;2,8;
2021/01/03;2200 UTC;;925,4;925,4;924,8;93,2;26,4;18,9;27,8;26,4;19,7;18,8;63;60;63;307;6,2;1,3;
2021/01/03;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1100 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1200 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1400 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1500 UTC;;931,3;931,6;931,3;637,2;20,1;18,4;20,1;19,6;18,5;18;92;89;90;360;8,7;3,2;
2021/01/04;1600 UTC;;930,5;931,3;930,4;1009,7;20,4;18,2;20,5;19,9;18,8;17,7;90;85;87;25;7,4;2,9;
2021/01/04;1700 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1800 UTC;;;;;;;;;;;;;;;;;;
