REGIAO:;CO
UF:;GO
ESTACAO:;ALTO PARAISO DE GOIAS
CODIGO (WMO):;A024
LATITUDE:;-14,13305554
LONGITUDE:;-47,52333332
ALTITUDE:;1264,7
DATA DE FUNDACAO:;04/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;876,6;876,6;876,3;0;17,6;;19,9;17,6;;;;;;293;2,9;0;
2021/01/01;0100 UTC;0;877,4;877,4;876,7;;17,9;;17,9;17;;;;;;278;1,6;,8;
2021/01/01;0200 UTC;0;877,6;877,8;877,4;0;18;;19;18;;;;;;267;2,1;1,2;
2021/01/01;0300 UTC;0;876,9;877,6;876,9;0;18,6;;19;17,8;;;;;;314;1,9;1;
2021/01/01;0400 UTC;0;876,7;876,9;876,7;0;18,6;;18,9;17,2;;;;;;55;1,3;0;
2021/01/01;0500 UTC;0;876,3;876,7;876,3;0;18,1;;19,1;17,5;;;;;;57;0;0;
2021/01/01;0600 UTC;0;875,9;876,4;875,9;0;19,5;;19,5;18,1;;;;;;11;2;,5;
2021/01/01;0700 UTC;0;876;876,1;875,9;0;18,3;;20,1;18,3;;;;;;91;3,3;0;
2021/01/01;0800 UTC;0;876,6;876,6;876;0;18,4;;19;17,3;;;;;;296;1,5;0;
2021/01/01;0900 UTC;0;877,1;877,1;876,6;8,2;16,7;;18,4;16,7;;;;;;267;0;0;
2021/01/01;1000 UTC;0;877,3;877,3;877,1;381,6;23,8;;23,8;16,7;;;;;;323;1,7;0;
