REGIAO:;CO
UF:;GO
ESTACAO:;SILVANIA
CODIGO (WMO):;A037
LATITUDE:;-16,67972221
LONGITUDE:;-48,61805554
ALTITUDE:;952
DATA DE FUNDACAO:;08/10/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;908,4;908,4;907,7;;23,5;17,9;23,6;22,7;18;17,5;74;69;71;298;3,2;,7;
2021/01/01;0100 UTC;;909;909,1;908,4;;22,6;18,3;23,5;22,3;18,3;17,4;78;70;77;299;2,5;,4;
2021/01/01;0200 UTC;;909,5;909,8;909;;23,1;17,6;23,4;22,3;18,2;17,4;77;71;71;255;7,8;2,1;
2021/01/01;0300 UTC;;908,9;909,5;908,9;;21,9;16,2;23,1;21,6;17,4;14,9;71;60;70;226;5,8;2,7;
2021/01/01;0400 UTC;;908,6;908,9;908,6;;20,9;16,4;21,9;20,8;16,8;16,2;76;70;75;8;5,3;,6;
2021/01/01;0500 UTC;;908,2;908,6;908,2;;21,3;18;21,3;20;18;16,4;83;75;81;215;3,4;1,9;
2021/01/01;0600 UTC;;908,1;908,3;908,1;;20,6;17,4;21,4;20,6;18;17;82;79;82;80;3,4;,5;
2021/01/01;0700 UTC;;908,1;908,6;907,9;;19,6;19,3;21,5;19;19,3;17,3;99;78;99;316;9;,5;
2021/01/01;0800 UTC;;908,3;908,3;907,7;;18,6;18,5;19,6;18,5;19,3;18,4;99;97;99;224;2,3;,6;
2021/01/01;0900 UTC;;909,2;909,2;908,3;1;18,6;18,5;19,2;18,6;19,1;18,5;100;99;99;204;1,6;,7;
2021/01/01;1000 UTC;;909,6;909,6;909,2;62,4;19,1;19;19,1;18,6;19;18,5;100;99;100;175;1,6;,3;
2021/01/01;1100 UTC;;909,9;910;909,6;403,1;21,2;20,1;21,2;19,1;20,7;19;100;94;94;96;1,2;,4;
2021/01/01;1200 UTC;;910,2;910,3;909,9;1772,6;25,8;20,2;25,8;21,1;20,9;19,6;94;70;71;132;3;,9;
2021/01/01;1300 UTC;;910,2;910,4;910,2;2734,3;26,7;19,5;27,6;25,5;21,5;18,9;72;63;65;171;3,9;1;
2021/01/01;1400 UTC;;910;910,2;910;3105,1;27,9;20;28,9;26,5;21,4;19,2;70;58;62;134;3,9;1;
2021/01/01;1500 UTC;;909,7;910;909,7;2961,1;27,4;18,8;29,9;27,3;20,6;17,9;63;50;59;144;4;,9;
2021/01/01;1600 UTC;;908,7;909,7;908,7;2042,2;29,1;20,1;30,4;27,4;20,5;17,9;64;49;58;112;2,5;,9;
2021/01/01;1700 UTC;;907,5;908,7;907,5;3662,3;29,8;16,3;30;29;20,5;16,3;59;44;44;128;4,3;1;
2021/01/01;1800 UTC;;907,7;907,8;907,1;906,4;22,9;16,7;30,3;22,9;18,2;15,5;69;44;68;299;6,1;1;
2021/01/01;1900 UTC;;907,4;907,7;907,1;195,1;20,8;17,1;23,1;20,8;17,4;15,9;80;65;80;217;5,7;1,9;
2021/01/01;2000 UTC;;908,6;908,6;907,4;28,4;20,2;17,9;20,9;20,2;18,8;17,2;89;80;87;240;8,5;3,5;
2021/01/01;2100 UTC;;909,3;909,3;908,4;41,1;19,7;18,2;20,2;19,6;18,3;17,8;91;87;91;99;8,5;1,1;
2021/01/01;2200 UTC;;909,7;909,7;909,3;9,3;19,1;18,1;19,7;19;18,3;17,8;94;91;94;208;3,2;,5;
2021/01/01;2300 UTC;;910,1;910,2;909,7;;19,2;18,1;19,5;19;18,8;18;98;93;93;186;2,1;,7;
2021/01/02;0000 UTC;;909,4;910,2;909,4;;19,3;17,6;19,8;19,1;18,2;17,6;94;88;90;151;3,2;,6;
2021/01/02;0100 UTC;;909,1;909,4;909,1;;19,8;17,1;20;19,2;17,7;17;90;83;85;112;4,2;1,1;
2021/01/02;0200 UTC;;909,3;909,3;909;,5;19,4;17,1;20,1;19,4;17,3;16,2;87;78;87;194;4,2;,4;
2021/01/02;0300 UTC;;908,8;909,3;908,7;;18,9;17,8;19,4;18,8;17,8;17,2;93;87;93;215;1,5;,8;
2021/01/02;0400 UTC;;908,2;908,8;908,2;;18,9;16,9;19,3;18,9;17,9;16,5;93;84;88;122;1,7;,7;
2021/01/02;0500 UTC;;907,4;908,2;907,4;;18,9;16,9;18,9;18,5;17;16,2;90;86;88;283;1,4;,5;
2021/01/02;0600 UTC;;907;907,4;906,9;;19,4;16,4;19,5;18,6;17;16,4;89;82;83;220;2,7;,9;
2021/01/02;0700 UTC;;906,9;907;906,7;1,2;19,7;15,9;19,8;18,8;16,5;15,8;86;78;79;258;3;,7;
