REGIAO:;CO
UF:;MS
ESTACAO:;IVINHEMA
CODIGO (WMO):;A709
LATITUDE:;-22,30055555
LONGITUDE:;-53,82277777
ALTITUDE:;377,36
DATA DE FUNDACAO:;08/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;970,1;970,1;969,4;;22,5;21,3;22,8;22,5;21,6;21,2;93;92;93;74;2,9;0;
2021/01/01;0100 UTC;0;970,5;970,6;970;;22,3;20,7;22,7;22,2;21,5;20,7;93;91;91;332;3,4;0;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;0;970,3;970,4;970;492,1;22,3;21,4;22,3;21,9;21,5;21;95;95;95;205;3,1;1,8;
2021/01/01;1200 UTC;0;971;971;970,3;1462;24,7;21,8;24,9;22,2;22,5;21,4;95;83;84;185;4;1,8;
2021/01/01;1300 UTC;0;971,1;971,1;970,9;2570,9;27,3;21,9;27,3;24,5;22,6;21,6;85;73;73;171;4,5;1,9;
2021/01/01;1400 UTC;0;971,2;971,4;971,1;2988;28,1;20,3;29;26,7;22;20,3;73;61;63;159;3,9;1,5;
2021/01/01;1500 UTC;0;970,8;971,2;970,8;2099,3;29,3;20,6;29,6;27,5;21,4;20,2;67;58;60;107;3,5;1;
2021/01/01;1600 UTC;0;970,6;970,8;970,5;2165,1;30;20,9;30,2;28,8;21,5;20,2;64;56;58;100;4,2;1,5;
2021/01/01;1700 UTC;0;969,9;970,6;969,9;1640,3;29,6;21,8;30,7;29,2;22,6;20,4;63;54;63;119;4;2,2;
2021/01/01;1800 UTC;0;968,8;969,9;968,8;2207,9;31,8;22,1;31,9;29,5;22,8;21;63;53;57;130;4,7;2,6;
2021/01/01;1900 UTC;0;967,9;968,8;967,9;2530;30,8;21,6;32,2;30,6;22,3;20,8;58;52;58;135;6,7;2,5;
2021/01/01;2000 UTC;0;967,2;967,9;967,2;1780,2;31,7;20,9;32,1;30,8;22;20,4;58;50;53;162;6,7;2,1;
2021/01/01;2100 UTC;0;967,2;967,2;967,1;1201,6;30,5;20,4;32;30,5;21,1;20,2;55;50;55;144;5,9;2,6;
2021/01/01;2200 UTC;0;967,3;967,3;967,1;443,4;30,5;20,7;31,5;30,5;20,9;20,1;56;51;56;142;4,9;2,1;
2021/01/01;2300 UTC;0;968;968;967,3;45,9;27,6;20,5;30,5;27,6;20,9;20,4;66;56;66;116;4,7;1,4;
2021/01/02;0000 UTC;0;968,3;968,3;968;;26,8;20,6;27,6;26,7;20,6;20,5;69;66;69;129;2,9;1,5;
2021/01/02;0100 UTC;0;968,7;968,7;968,3;;26,1;20,9;26,8;26,1;21;20,6;73;69;73;118;2,3;1,2;
2021/01/02;0200 UTC;0;969,2;969,2;968,7;;25,1;21;26,1;25,1;21;20,5;78;72;78;336;2,2;,4;
2021/01/02;0300 UTC;0;969;969,3;969;;25,3;20,6;25,3;24,8;21,2;20,3;79;75;76;90;1;,1;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
