REGIAO:;CO
UF:;MS
ESTACAO:;RIO BRILHANTE
CODIGO (WMO):;A743
LATITUDE:;-21,774944
LONGITUDE:;-54,528108
ALTITUDE:;324,31
DATA DE FUNDACAO:;26/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;2,2;975,8;976;975,6;;22,9;22,4;23,2;22,9;22,7;22,3;97;96;97;236;2,9;1;
2021/01/01;0100 UTC;,8;976,1;976,1;975,7;;22,5;22,1;22,9;22,5;22,4;22,1;97;97;97;236;3,7;,6;
2021/01/01;0200 UTC;,4;976,6;976,7;976,1;;22,4;22;22,6;22,4;22,2;22;98;97;98;236;2;0;
2021/01/01;0300 UTC;,2;976,1;976,6;976,1;;22,2;21,9;22,4;22;22;21,7;98;98;98;236;1,4;,4;
2021/01/01;0400 UTC;,4;975,7;976,1;975,7;;21,9;21,7;22,2;21,9;21,9;21,7;99;98;99;236;1,5;,1;
2021/01/01;0500 UTC;0;975;975,7;975;;21,6;21,4;21,9;21,6;21,7;21,4;99;99;99;236;1,5;,2;
2021/01/01;0600 UTC;,2;974,9;975;974,9;;21,3;21,1;21,7;21,2;21,5;21,1;99;99;99;236;2,1;1,1;
2021/01/01;0700 UTC;,2;975,1;975,1;974,9;;21,4;21,3;21,4;21,2;21,3;21,1;99;99;99;236;2,1;,4;
2021/01/01;0800 UTC;0;975,3;975,4;975,1;;21;20,9;21,5;21;21,3;20,9;99;99;99;236;2,8;0;
2021/01/01;0900 UTC;0;975,8;975,8;975,3;6;20,8;20,7;21,1;20,7;21;20,6;100;99;100;236;1,4;1;
2021/01/01;1000 UTC;,2;976,4;976,4;975,8;185,8;21,9;21,9;22;20,8;21,9;20,7;100;100;100;236;1,5;,2;
2021/01/01;1100 UTC;0;976,8;976,8;976,4;618;22,9;22,8;22,9;21,7;22,8;21,7;100;100;100;236;2,1;,7;
2021/01/01;1200 UTC;0;977,3;977,3;976,8;1299,3;23,9;22,7;24;22,5;23,5;22,5;100;93;93;236;2,9;1,3;
2021/01/01;1300 UTC;,2;977,7;977,7;977,3;2159,5;26,1;22,6;26,1;23,7;23,1;22;93;81;81;236;2,9;0;
2021/01/01;1400 UTC;0;977,2;977,8;977,2;2945,5;27,4;21,6;27,4;25;22,9;20,6;85;69;71;236;2,5;,1;
2021/01/01;1500 UTC;,2;977;977,2;977;2819,2;28,7;21,3;29,1;27,2;22,5;20,9;74;62;64;236;4,4;0;
2021/01/01;1600 UTC;0;976,4;977;976,4;3420,8;30,8;22,5;31;28,4;23,6;21;66;59;61;236;4,9;1,8;
2021/01/01;1700 UTC;,2;975,4;976,4;975,4;2950,3;30,8;21,6;31,6;30,3;22,9;21,3;63;56;58;236;4,9;,5;
2021/01/01;1800 UTC;0;974,3;975,4;974,3;2110,7;32,1;22,1;32,4;30,4;23;21,3;62;54;55;236;3,3;,4;
2021/01/01;1900 UTC;0;973,3;974,3;973,3;2944,4;33,4;22,5;33,4;32,1;23,4;21,5;59;51;53;236;3,9;,8;
2021/01/01;2000 UTC;0;973;973,3;973;1439,5;31,9;21,2;33,4;31,3;23;21,2;59;50;53;236;3,6;0;
2021/01/01;2100 UTC;,2;972,9;973;972,8;603,8;30,4;23,6;32,4;30,4;23,8;21,4;67;53;67;236;2,5;0;
2021/01/01;2200 UTC;0;973,3;973,3;972,9;123;28;21,9;30,4;28;25,1;21,9;75;66;69;236;3,1;,5;
2021/01/01;2300 UTC;0;973,9;973,9;973,3;2,9;25,6;22;28;25,6;23;21,6;85;69;81;236;3,2;1,5;
2021/01/02;0000 UTC;0;974,3;974,3;973,9;;24,8;22,9;25,6;24,7;23;21,9;89;80;89;236;3;0;
2021/01/02;0100 UTC;0;974,9;974,9;974,3;;24,6;22,3;24,8;24,5;23,1;22,1;90;86;87;236;2;0;
2021/01/02;0200 UTC;,2;975,3;975,3;974,9;;24,3;22,3;24,6;24,2;22,4;22,1;89;87;89;236;0;0;
2021/01/02;0300 UTC;0;974,9;975,3;974,9;;23,7;22,7;24,3;23,7;22,9;22,1;94;88;94;236;0;0;
2021/01/02;0400 UTC;0;974,6;974,9;974,5;;23;22,1;23,8;22,9;22,9;21,9;95;94;95;236;0;0;
