REGIAO:;CO
UF:;MS
ESTACAO:;COSTA RICA
CODIGO (WMO):;A760
LATITUDE:;-18,49277777
LONGITUDE:;-53,17138888
ALTITUDE:;727,34
DATA DE FUNDACAO:;04/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;933,1;933,1;931,9;;20,6;18,8;20,7;20,3;18,8;17,9;90;84;89;119;4,9;1,3;
2021/01/01;0100 UTC;;933,5;933,5;933,1;;20,8;18,7;20,9;20,6;19,1;18,5;91;87;87;99;2,6;1,1;
2021/01/01;0200 UTC;;933,5;933,6;933,4;;20,5;18,4;21,2;20,5;18,7;18,1;88;82;88;118;2,5;2;
2021/01/01;0300 UTC;;932,8;933,5;932,8;;19,9;18,1;20,7;19,8;18,9;18,1;92;88;90;28;4,3;3;
2021/01/01;0400 UTC;;932,2;932,8;932,2;;19,7;17,8;19,9;19,6;18,1;17,8;91;89;89;347;4;,7;
2021/01/01;0500 UTC;;931,5;932,2;931,4;;19,5;17,7;20,1;19,5;17,9;17,7;90;86;89;44;5;4,1;
2021/01/01;0600 UTC;;931,3;931,5;931,3;;19,9;17,8;20;19,4;18;17,7;90;87;88;46;5;3;
2021/01/01;0700 UTC;;931,4;931,4;931,2;;19,4;17,9;19,9;19,3;17,9;17,7;91;88;91;17;4,3;2,8;
2021/01/01;0800 UTC;;931,7;931,7;931,3;;20;17,6;20;19,4;18;17,6;91;86;86;43;3,6;2,9;
2021/01/01;0900 UTC;;932,3;932,3;931,7;;19,8;17,7;20,2;19,7;17,8;17,5;88;85;88;24;3,6;2,5;
2021/01/01;1000 UTC;;932,8;932,8;932,3;54,2;20,3;18,1;20,3;19,7;18,1;17,5;88;86;87;40;4,4;2,6;
2021/01/01;1100 UTC;;933,5;933,5;932,8;332,2;21,7;18,7;21,7;20,3;18,9;18;88;83;83;17;3,4;2,3;
2021/01/01;1200 UTC;;933,9;933,9;933,5;679,9;23,1;19,2;23,2;21,7;19,8;18,7;84;79;79;26;3,3;2,2;
2021/01/01;1300 UTC;;934,3;934,3;933,9;838,5;24,4;19,6;24,5;23,1;20,3;19,2;82;74;74;85;2,8;1;
2021/01/01;1400 UTC;;934,1;934,3;934,1;1806,3;27,1;18,5;27,2;24,5;20,4;18,5;77;59;59;115;2,7;1,3;
2021/01/01;1500 UTC;;933,8;934,1;933,8;3380,5;28,3;17,9;29,7;26,7;19,8;17,5;63;49;53;353;3;1,7;
2021/01/01;1600 UTC;;933,5;933,8;933,5;2026,3;28,7;17,2;29,7;28,1;18,5;16,2;55;47;50;181;4,1;2;
2021/01/01;1700 UTC;;932,8;933,5;932,8;2336,3;29,2;18,4;29,6;28,4;18,7;16,7;54;47;52;171;5,6;2,5;
2021/01/01;1800 UTC;;931,9;932,8;931,9;2479;29,9;17,5;30,1;29,1;19;15,2;54;41;47;237;6,8;3,8;
2021/01/01;1900 UTC;;931;931,9;930,9;1190,9;25,9;19,3;30,1;25,9;20,2;16,3;68;45;67;203;6;4;
2021/01/01;2000 UTC;;930,7;931;930,6;1310,4;26,7;19,1;27,6;25,8;20,8;18,9;71;62;63;178;6;2,4;
2021/01/01;2100 UTC;;930,3;930,7;930,3;406,9;25,6;20,4;26,7;25,6;20,8;19;74;63;73;191;3,6;2,1;
2021/01/01;2200 UTC;;930,5;930,8;930,3;215,8;25,9;20,4;25,9;25,4;20,7;19,7;74;70;72;182;3,8;,6;
2021/01/01;2300 UTC;;931;931,1;930,5;18,3;24,9;20,2;26;24,4;20,7;19,9;80;71;75;73;1,7;1;
2021/01/02;0000 UTC;;931,6;931,6;931;;24,7;20,3;24,9;24,4;20,9;20,1;80;75;77;46;1,7;,8;
2021/01/02;0100 UTC;;932,3;932,3;931,6;;24,4;20,6;24,9;24;20,9;20,1;82;75;79;80;2;1,3;
2021/01/02;0200 UTC;;932,4;932,4;932,3;;23,3;20,9;24,4;23,3;20,9;20,5;86;79;86;22;3,2;1,3;
