REGIAO:;CO
UF:;MS
ESTACAO:;RIBAS DO RIO PARDO
CODIGO (WMO):;S715
LATITUDE:;-20,466694
LONGITUDE:;-53,763028
ALTITUDE:;442
DATA DE FUNDACAO:;18/01/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;963,6;963,6;963;;25,3;20,6;26,3;25,3;21;19,8;76;67;75;157;1,9;1;
2021/01/01;0100 UTC;0;964;964;963,6;;23,9;21,2;25,3;23,9;21,2;20,6;85;75;85;195;5,7;2,3;
2021/01/01;0200 UTC;0;964,1;964,3;963,8;;23,9;21,3;24;23,8;21,6;21,1;87;84;85;153;3,9;1,1;
2021/01/01;0300 UTC;0;963,4;964,2;963,4;;23,6;21,5;24;23,6;21,6;21,2;88;85;88;72;2,9;1,8;
2021/01/01;0400 UTC;0;962,9;963,5;962,9;;23,6;21,2;23,7;23,4;21,5;21,1;89;86;87;85;3,4;1;
2021/01/01;0500 UTC;0;962,1;963;962,1;;23,5;21;23,8;23,5;21,4;21;88;85;86;32;2,4;1,5;
2021/01/01;0600 UTC;0;961,9;962,1;961,9;;23,3;21,3;23,5;23,3;21,3;21;88;86;88;25;2,3;1,3;
2021/01/01;0700 UTC;0;962;962,1;961,9;;22,4;21,5;23,3;22,3;21,5;21,3;95;88;95;297;2,2;,5;
2021/01/01;0800 UTC;0;962,3;962,3;962;;23,1;21,4;23,3;22,2;21,6;21,4;95;89;90;335;2,3;1,6;
2021/01/01;0900 UTC;0;963,2;963,2;962,3;8,1;22,9;21,3;23,1;22,8;21,5;21,3;92;90;91;307;3;2;
2021/01/01;1000 UTC;0;963,7;963,7;963,2;227;23,7;21,5;23,8;22,8;21,8;21,3;92;87;88;315;3,4;2,2;
2021/01/01;1100 UTC;0;964;964;963,7;1024,9;25,6;21,3;25,9;23,6;21,9;21,1;88;76;77;317;3,6;2,4;
2021/01/01;1200 UTC;0;964,5;964,5;964;1777,9;27,8;20,6;28,2;25,5;21,7;20,4;77;65;65;283;4,5;2,3;
2021/01/01;1300 UTC;0;964,5;964,6;964,4;1937,2;28,9;20,7;29,1;27,6;21,1;20,1;66;61;61;306;5,4;2,7;
