REGIAO:;NE
UF:;BA
ESTACAO:;BARREIRAS
CODIGO (WMO):;A402
LATITUDE:;-12,12472221
LONGITUDE:;-45,02694443
ALTITUDE:;474,17
DATA DE FUNDACAO:;20/12/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;957,7;957,7;956,6;;25,8;19,2;26,5;25,8;20,5;18,9;71;64;67;188;1,4;0;
2021/01/01;0100 UTC;;958,2;958,2;957,7;;23,6;20,1;26;23,6;20,1;18,9;81;66;81;269;1,6;,8;
2021/01/01;0200 UTC;;958,5;958,6;958,2;;22,7;20,2;23,9;22,7;20,6;19,9;86;79;86;286;1,9;,2;
2021/01/01;0300 UTC;;958,2;958,5;958,1;;22,8;19,3;23,1;21,8;20,3;19,3;90;81;81;291;2,8;1,5;
2021/01/01;0400 UTC;;957,6;958,2;957,6;;22,3;18,8;23;22;19,3;18,7;83;79;80;288;2,3;1,3;
2021/01/01;0500 UTC;;957,5;957,7;957,5;;21,4;18,8;22,3;20,9;19,3;18,7;89;80;85;290;2,6;1,4;
2021/01/01;0600 UTC;;957,6;957,8;957,4;;20,8;18,3;21,8;20,6;18,9;18,3;88;83;85;277;2,2;,6;
2021/01/01;0700 UTC;;958;958,1;957,6;;19,6;18,2;21,6;19,6;19,2;18,1;92;85;91;252;1,9;1;
2021/01/01;0800 UTC;;958,7;958,7;957,9;;20,1;18,3;20,5;19,3;18,9;18,3;96;89;90;280;2,7;,8;
2021/01/01;0900 UTC;;959,4;959,4;958,7;15,7;19,4;18,4;20,1;19,2;18,4;18,1;94;90;94;248;1,5;0;
2021/01/01;1000 UTC;;960,1;960,1;959,4;511,5;22,1;19,3;22,1;19,4;19,4;18,4;95;84;84;221;1,5;,2;
2021/01/01;1100 UTC;;960;960,2;959,8;1361,8;25,4;19,4;25,4;22,1;20;18,1;84;68;69;199;1,5;,2;
2021/01/01;1200 UTC;;960,2;960,2;960;2177,9;28,6;19,7;28,6;25,4;20,8;18,8;69;59;59;144;2,8;,8;
2021/01/01;1300 UTC;;960,4;960,4;960,1;2862,6;30,1;18,5;30,5;28,5;20,2;17,3;61;47;50;82;6,8;2,9;
2021/01/01;1400 UTC;;959,9;960,4;959,9;3346,3;31,3;18,5;31,9;30,1;20;17,9;52;46;47;82;7,1;2,7;
2021/01/01;1500 UTC;;959,2;959,9;959,2;3604,7;33;19,4;33;31,3;20,8;18,3;50;42;45;79;5,3;1,9;
2021/01/01;1600 UTC;;958,4;959,2;958,4;3646,8;33,5;18,9;34,1;32,5;19,8;17;47;38;42;98;6,8;2,6;
2021/01/01;1700 UTC;;957,4;958,4;957,4;3440,9;34,8;16,6;35;33,5;19,5;16,5;44;34;34;211;6,2;1;
2021/01/01;1800 UTC;;956,5;957,4;956,5;2986,9;34,8;16,3;35,5;34,5;17,8;14,9;37;31;33;117;3,9;,5;
2021/01/01;1900 UTC;;955,7;956,5;955,7;2287,9;35,4;10,9;35,7;34,8;16,9;10,9;34;23;23;206;3,7;1,4;
2021/01/01;2000 UTC;;955;955,7;955;1460,3;34,7;16;35,7;34,7;16,3;11,4;34;23;33;193;3,7;1,8;
2021/01/01;2100 UTC;;954,9;955,1;954,9;598,3;33,9;17,3;34,8;33,9;17,5;15,4;38;31;37;234;2,9;,2;
2021/01/01;2200 UTC;;955,5;955,5;954,9;33;29,5;19,6;33,9;29,5;19,6;16,5;55;37;55;321;1,4;,5;
2021/01/01;2300 UTC;;956,5;956,5;955,5;;26,9;19,5;29,4;26,8;21;17,7;68;52;64;243;1,4;,1;
2021/01/02;0000 UTC;;957,3;957,3;956,5;;26,7;19,4;27,4;25,8;20,3;19,3;71;62;64;320;1,7;0;
2021/01/02;0100 UTC;;957,8;957,8;957,3;;24,5;20,3;26,8;24,5;20,6;19,2;77;64;77;239;2,6;,4;
2021/01/02;0200 UTC;;957,7;957,9;957,7;;23,8;19,7;24,5;23;20,6;19,7;84;77;78;281;2,2;1,2;
2021/01/02;0300 UTC;;957,3;957,7;957,3;;22,4;19,8;23,8;22,2;19,9;19,3;87;77;85;274;2,6;,9;
2021/01/02;0400 UTC;;956,9;957,3;956,9;;21,7;19,6;22,6;21,3;19,8;19,1;90;82;88;281;1,8;,9;
2021/01/02;0500 UTC;;956,7;956,9;956,7;;20,7;18,9;22,4;20,7;19,6;18,6;89;83;89;272;2;,6;
2021/01/02;0600 UTC;;957,1;957,1;956,7;;20,1;18,5;21;20,1;19;18,3;90;86;90;301;2,9;,4;
2021/01/02;0700 UTC;;957,3;957,3;957;;19,7;18,8;21;19,7;18,8;18,5;94;87;94;274;2,4;1,5;
2021/01/02;0800 UTC;;957,9;957,9;957,3;;20,1;18,6;20,6;19,7;18,9;18,4;94;89;91;264;2,8;1;
2021/01/02;0900 UTC;;958,2;958,3;957,8;14,8;20,8;18,5;20,8;19,9;18,6;18,4;92;86;87;136;2,3;,1;
2021/01/02;1000 UTC;;958,6;958,7;958,2;465,6;22;19,2;22;20,4;19,3;18,3;89;84;84;267;3,3;,8;
2021/01/02;1100 UTC;;958,9;958,9;958,6;1344,4;25,1;19,6;25,1;22;19,9;18,8;84;71;72;185;3;,4;
2021/01/02;1200 UTC;;958,7;958,9;958,7;2158,5;27,9;20,3;28,1;24,8;20,4;19,1;72;62;64;99;3,6;,6;
2021/01/02;1300 UTC;;958,5;958,7;958,4;2390,2;29,6;20,4;29,8;27,9;21,4;19,7;65;57;58;153;3,1;1,4;
2021/01/02;1400 UTC;;957,8;958,6;957,7;3006,8;31,7;22,5;31,7;29,6;22,5;19,6;60;53;58;120;4,6;1,7;
2021/01/02;1500 UTC;;957,4;957,8;957,4;3492,6;33;20,6;33,1;31,2;22,9;20,4;59;48;48;4;7,3;2,3;
2021/01/02;1600 UTC;;955,9;957,4;955,9;3570,9;33,8;21,2;34,2;32,5;21,8;19,4;52;44;48;276;5,5;,8;
2021/01/02;1700 UTC;;954,7;955,9;954,7;2885,9;33,7;19;34,3;32,4;21,2;17,2;49;36;42;57;6;2,2;
2021/01/02;1800 UTC;;953,9;954,7;953,9;2810,3;33,5;19,3;34,7;33,5;20,7;16,9;46;36;43;95;6;1,6;
2021/01/02;1900 UTC;;954,4;954,4;953,9;529,1;28,6;19,8;33,5;28,6;20,4;18,6;59;43;59;269;10,9;5,3;
2021/01/02;2000 UTC;;954,8;955,7;954,4;327,6;26,7;17,9;28,6;26,7;19,5;17,8;63;56;59;154;11,1;1,8;
2021/01/02;2100 UTC;;954,2;954,8;954,1;144,6;27,1;19,1;27,3;26,4;19,1;17,9;62;59;61;280;3,1;,5;
2021/01/02;2200 UTC;;954,5;954,7;954,2;28,4;26,3;19,5;27,4;26,3;19,6;19;66;60;66;270;2,5;,9;
