REGIAO:;NE
UF:;BA
ESTACAO:;IRECE
CODIGO (WMO):;A424
LATITUDE:;-11,328998
LONGITUDE:;-41,864504
ALTITUDE:;768,42
DATA DE FUNDACAO:;31/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;926,9;926,9;926;;24,5;14,3;26,5;24,5;14,4;14;53;46;53;114;5;1,8;
2021/01/01;0100 UTC;0;927;927,1;926,9;;23,5;14,4;24,4;23,2;14,5;14,3;58;54;57;131;2,8;1,1;
2021/01/01;0200 UTC;0;927,4;927,4;926,9;;22,8;14,5;23,6;22,5;14,5;14,1;60;56;60;156;3,6;1,8;
2021/01/01;0300 UTC;0;927,2;927,4;927,2;;22,7;16,3;22,8;22,4;16,3;14,4;67;59;67;125;4,9;2;
2021/01/01;0400 UTC;0;927,3;927,3;927,2;;21,5;16,4;22,7;21,5;16,8;16,2;73;67;73;155;6,1;2,8;
2021/01/01;0500 UTC;0;927,3;927,4;927,2;;20,9;17,2;21,5;20,9;17,2;16,4;79;73;79;152;5,9;2,3;
2021/01/01;0600 UTC;0;927,4;927,6;927,3;;20,2;17,1;20,9;20,2;17,2;17;83;79;83;164;5;2,2;
2021/01/01;0700 UTC;0;927,6;927,6;927,4;;19,8;17,1;20,2;19,8;17,3;17,1;84;83;84;160;6,3;2,5;
2021/01/01;0800 UTC;0;928,3;928,3;927,6;;19,4;16,7;19,9;19,4;17,2;16,7;85;84;84;141;5,4;2,4;
2021/01/01;0900 UTC;0;929;929;928,3;167,9;20,3;17;20,3;19,3;17;16,5;84;81;81;137;6,4;2,5;
