REGIAO:;NE
UF:;PI
ESTACAO:;PIRIPIRI
CODIGO (WMO):;A335
LATITUDE:;-4,276047
LONGITUDE:;-41,794568
ALTITUDE:;157,89
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;992,7;992,9;991,3;;28,2;22,3;29,5;28,2;22,5;21,7;70;63;70;324;8,2;3,2;
2021/01/01;0100 UTC;0;993,4;993,5;992,7;;27,3;22,7;28,2;27,3;22,7;22,4;76;70;76;263;5,8;1,6;
2021/01/01;0200 UTC;0;993,9;993,9;993,4;;26,7;22,8;27,4;26,7;22,8;22,6;79;76;79;250;3;1,9;
2021/01/01;0300 UTC;0;993,4;993,9;993,4;;26,2;22,7;26,7;26,2;22,8;22,7;81;79;81;296;3;1,3;
2021/01/01;0400 UTC;0;992,7;993,4;992,7;;26;22,5;26,2;26;22,7;22,5;81;80;81;306;2,9;1,7;
2021/01/01;0500 UTC;0;992,3;992,8;992,3;;25,9;22,5;26;25,8;22,6;22,5;82;81;82;301;2,9;,8;
2021/01/01;0600 UTC;0;992,3;992,3;992,1;;25,6;22,6;25,9;25,4;22,7;22,4;84;82;83;236;1,6;,8;
2021/01/01;0700 UTC;0;992,9;992,9;992,3;;25,6;22,8;25,7;25,5;22,9;22,6;85;83;85;234;1,3;,7;
2021/01/01;0800 UTC;0;993,4;993,4;992,8;;25,5;22,9;25,7;25,5;22,9;22,8;86;84;86;216;1,8;,7;
2021/01/01;0900 UTC;0;993,8;993,8;993,4;;25,3;23;25,6;25,3;23;22,9;87;86;87;183;1,5;,6;
2021/01/01;1000 UTC;0;994,2;994,2;993,8;168,8;26,1;23,2;26,1;25,3;23,5;23;87;84;84;175;1,8;,6;
2021/01/01;1100 UTC;0;994,4;994,4;994,2;764,4;28,1;23,4;28,1;26,1;23,8;23;84;76;76;155;3,5;1,9;
2021/01/01;1200 UTC;0;994,4;994,4;994,3;1832,5;30,3;22,6;30,6;28,1;23,6;22,5;76;63;63;119;5,6;1,5;
2021/01/01;1300 UTC;0;994,3;994,5;994,3;2451,5;32,2;22,1;32,7;30,3;23;21,6;64;53;55;93;5,4;1,4;
2021/01/01;1400 UTC;0;994,1;994,4;994,1;1749,6;33,5;22,8;33,5;31,7;23,2;21,4;57;52;54;65;4,2;1,6;
2021/01/01;1500 UTC;0;993,3;994,1;993,3;3542,1;35,5;20,9;35,5;33,4;22,6;20,1;54;42;43;166;5,3;2,1;
2021/01/01;1600 UTC;0;992,2;993,3;992,2;3401,2;35,7;19,9;37,4;34,6;21,8;19,6;45;38;40;198;4,5;1,6;
2021/01/01;1700 UTC;0;991,1;992,2;991,1;2715,5;36,5;18,7;37,1;35,3;22,1;18,7;43;35;35;29;5,4;1,8;
2021/01/01;1800 UTC;0;990,4;991,1;990,3;2681,3;35,3;20,7;38,5;35,3;20,7;18,6;43;33;43;195;5,7;3;
2021/01/01;1900 UTC;1;990;990,5;990;613,3;30,4;24,4;35,3;30,3;24,5;20,5;71;43;71;268;5,4;2,5;
2021/01/01;2000 UTC;0;990,4;990,6;989,9;491,9;28,8;22,9;30,8;28,5;25,1;21,7;72;65;71;351;6,5;3,3;
2021/01/01;2100 UTC;0;990,7;990,7;990;554,7;29,6;23,2;30,5;28,8;23,8;22,8;72;65;69;320;5,9;2,6;
2021/01/01;2200 UTC;0;992,1;992,1;990,5;14,9;29,7;23,5;30,1;29,2;23,6;22,8;71;66;69;295;4,2;1,3;
2021/01/01;2300 UTC;0;992,4;992,5;992;;27,5;22,6;29,7;27,5;23,5;21,7;75;65;75;283;5,4;1,8;
2021/01/02;0000 UTC;0;992,7;992,8;992,3;;26,8;23,2;27,4;26,7;23,3;22,7;81;75;81;265;3,9;,6;
2021/01/02;0100 UTC;0;992,7;993;992,6;;26,8;22,8;26,9;26,4;23,3;22,8;83;78;79;352;4,6;2,8;
2021/01/02;0200 UTC;0;992,6;993;992,6;;26;22,9;26,8;26;22,9;22,7;83;79;83;350;4,6;1,8;
2021/01/02;0300 UTC;0;992,6;992,7;992,5;;25,7;23,2;26;25,7;23,3;22,9;86;83;86;350;2,5;,9;
2021/01/02;0400 UTC;0;992;992,6;992;;25,5;23,2;25,8;25,5;23,3;23,1;87;86;87;330;1,6;,4;
2021/01/02;0500 UTC;0;991,7;992;991,7;;25,2;23,2;25,5;25,2;23,3;23;89;87;88;25;1,5;,2;
2021/01/02;0600 UTC;0;991,7;991,7;991,6;;24,8;22,9;25,3;24,7;23,2;22,9;90;88;89;192;1,8;1,3;
2021/01/02;0700 UTC;0;992,1;992,1;991,7;;25;23;25;24,7;23,1;22,8;90;88;89;181;2,2;,6;
2021/01/02;0800 UTC;0;992,3;992,3;992,1;;24,9;23,2;25,1;24,9;23,2;23;90;89;90;57;1,4;,7;
