REGIAO:;N
UF:;PA
ESTACAO:;TOME ACU
CODIGO (WMO):;A213
LATITUDE:;-2,59249999
LONGITUDE:;-48,36055555
ALTITUDE:;42,95
DATA DE FUNDACAO:;14/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;2;1007,9;1007,9;1006,1;;23,1;22,6;23,4;23,1;22,9;22,6;97;97;97;236;2,7;,6;
2021/01/01;0100 UTC;1,8;1008,5;1008,6;1007,9;;22,9;22,5;23,1;22,9;22,6;22,5;98;97;98;236;2,7;,1;
2021/01/01;0200 UTC;,6;1009;1009;1008,5;;22,9;22,5;23;22,9;22,6;22,5;98;98;98;236;1,5;0;
2021/01/01;0300 UTC;1,2;1008,8;1009,1;1008,8;;23;22,6;23;22,9;22,6;22,5;98;98;98;236;2,5;0;
2021/01/01;0400 UTC;0;1007,9;1008,8;1007,9;;22,9;22,6;23;22,9;22,6;22,5;98;98;98;236;1,6;0;
2021/01/01;0500 UTC;0;1007,2;1007,9;1007,2;;22,9;22,5;22,9;22,8;22,6;22,5;98;98;98;236;1,9;,3;
2021/01/01;0600 UTC;0;1006,6;1007,2;1006,5;;22,7;22,4;22,9;22,7;22,6;22,4;98;98;98;236;2,4;,3;
2021/01/01;0700 UTC;0;1006,4;1006,6;1006,4;;22,8;22,5;22,8;22,7;22,5;22,4;98;98;98;236;2,6;,1;
2021/01/01;0800 UTC;0;1006,2;1006,4;1006,1;;22,8;22,5;22,9;22,8;22,6;22,5;98;98;98;236;1,3;0;
2021/01/01;0900 UTC;0;1006,1;1006,3;1006,1;;22,8;22,6;22,9;22,8;22,6;22,5;98;98;98;236;1,5;,3;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;0;1007,9;1007,9;1006,8;374,6;23,5;23,3;23,5;22,9;23,3;22,7;99;99;99;236;2,6;1;
2021/01/01;1200 UTC;0;1009;1009;1007,9;683,3;24,5;23,7;24,5;23,5;23,9;23,3;99;94;96;236;3,4;1,6;
2021/01/01;1300 UTC;0;1008,7;1009,1;1008,7;921,3;25,1;23,3;25,2;24,4;23,8;23,1;96;89;90;236;3,6;1,6;
2021/01/01;1400 UTC;0;1008,2;1008,7;1008,1;1354,9;26,3;23,7;26,3;25,1;24;23,1;91;83;86;236;3,4;1,4;
2021/01/01;1500 UTC;0;1008;1008,2;1008;1954,3;27,6;23,7;27,6;26,3;23,8;23,1;86;78;80;236;3,9;2;
2021/01/01;1600 UTC;0;1007,1;1008;1007,1;1937,8;28,6;23,6;28,8;27,7;24;23,1;80;72;74;236;4,5;,8;
2021/01/01;1700 UTC;0;1006,1;1007;1006,1;1979,2;29,4;23,4;29,9;28,5;24,3;23,2;76;68;70;236;3,3;1,8;
2021/01/01;1800 UTC;0;1004,9;1006;1004,9;2030,2;30,4;22,8;30,7;29,4;24,2;22,7;73;63;64;236;3,6;1,1;
2021/01/01;1900 UTC;0;1003,9;1004,8;1003,9;1735,3;31,1;23,1;31,3;30,6;23,6;22,5;64;61;63;236;3,9;1,1;
2021/01/01;2000 UTC;0;1003,8;1004,1;1003,8;1031,6;31;23,2;31,3;30,7;24,2;22,9;67;62;63;236;3;,2;
2021/01/01;2100 UTC;0;1004,7;1004,7;1003,8;501,8;30,3;24,5;31,1;30,3;24,5;23,4;71;64;71;236;2,4;,1;
2021/01/01;2200 UTC;0;1005,5;1005,5;1004,7;42,9;26,1;22,2;30,2;26,1;25,8;22,2;80;72;79;236;6,5;1,1;
2021/01/01;2300 UTC;0;1006,4;1006,4;1005,5;;25,4;23;26,1;25,4;23,1;22,3;87;80;87;236;2;0;
2021/01/02;0000 UTC;0;1006,6;1006,6;1006,4;;24,6;22,9;25,4;24,6;23,3;22,9;90;88;90;236;1,5;,1;
2021/01/02;0100 UTC;0;1007,2;1007,2;1006,7;;24,5;23,1;24,6;24,4;23,2;22,8;93;90;92;236;1,1;0;
2021/01/02;0200 UTC;0;1006,9;1007,2;1006,7;;24,1;22,9;24,5;24,1;23,3;22,9;93;92;93;236;0;0;
2021/01/02;0300 UTC;0;1006,2;1006,9;1006,2;;24,2;23,2;24,2;24,1;23,2;22,9;94;93;94;236;,3;0;
2021/01/02;0400 UTC;0;1005,8;1006,2;1005,8;;23,9;22,9;24,2;23,9;23,3;22,9;95;94;94;236;,3;0;
2021/01/02;0500 UTC;0;1005,1;1005,8;1005;;23,8;23;23,9;23,7;23;22,8;95;94;95;236;0;0;
2021/01/02;0600 UTC;0;1004,8;1005,1;1004,6;;23,5;22,8;23,8;23,5;23;22,8;96;95;96;236;0;0;
2021/01/02;0700 UTC;0;1005;1005;1004,8;;23,3;22,7;23,5;23,3;22,9;22,7;96;96;96;236;0;0;
2021/01/02;0800 UTC;0;1005,5;1005,5;1005;;23;22,4;23,4;23;22,8;22,4;97;96;97;236;0;0;
