REGIAO:;N
UF:;PA
ESTACAO:;CAPITAO POCO
CODIGO (WMO):;A248
LATITUDE:;-1,73472221
LONGITUDE:;-47,0575
ALTITUDE:;79,1
DATA DE FUNDACAO:;18/04/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;1002,9;1003,2;1002,7;;23,8;23,1;23,9;23,8;23,3;23,1;96;96;96;30;1,3;,5;
2021/01/01;0100 UTC;0;1003,7;1003,7;1002,9;;23,8;23,1;23,9;23,8;23,2;23,1;96;96;96;164;2,2;1,1;
2021/01/01;0200 UTC;0;1004,4;1004,4;1003,7;;23,8;23;23,9;23,7;23,1;23;96;95;95;289;2,2;,9;
2021/01/01;0300 UTC;0;1004,1;1004,4;1004,1;;23,7;23;23,9;23,7;23,1;23;96;95;96;282;2,4;1,2;
2021/01/01;0400 UTC;0;1003,1;1004,1;1003,1;;23,5;22,9;23,7;23,5;23;22,9;96;96;96;287;2,4;1,1;
2021/01/01;0500 UTC;0;1002,7;1003,2;1002,7;;23,3;22,7;23,5;23,3;22,9;22,7;97;96;97;286;2,4;1,6;
2021/01/01;0600 UTC;0;1002,4;1002,8;1002,4;;23,1;22,6;23,3;23,1;22,7;22,6;97;97;97;257;2,8;1,2;
2021/01/01;0700 UTC;0;1002,4;1002,5;1002,2;;23;22,5;23,2;22,9;22,7;22,5;97;97;97;291;2,2;1,3;
2021/01/01;0800 UTC;0;1002,8;1002,8;1002,4;;22,9;22,4;23;22,8;22,5;22,4;97;97;97;269;1,9;,8;
2021/01/01;0900 UTC;0;1002,4;1002,8;1002,4;;22,9;22,4;23;22,8;22,6;22,4;97;97;97;231;1,7;,9;
2021/01/01;1000 UTC;0;1003,2;1003,2;1002,4;108,9;22,9;22,5;23;22,7;22,5;22,3;97;97;97;210;1,7;1,1;
2021/01/01;1100 UTC;0;1004;1004;1003,2;497,2;23,6;23,2;23,7;22,9;23,2;22,5;97;97;97;182;2,2;1,4;
2021/01/01;1200 UTC;0;1004,6;1004,6;1004;1051,8;25,8;25,2;25,8;23,6;25,2;23,2;97;96;96;216;2,7;1,2;
2021/01/01;1300 UTC;0;1004,7;1004,8;1004,6;1566,2;27,1;24;27,5;25,8;25,5;24;96;83;83;129;3,2;1,4;
2021/01/01;1400 UTC;0;1004,2;1004,7;1004,2;2104,9;29,4;24,2;29,4;27,1;25,2;23,4;84;73;74;114;6;2,8;
2021/01/01;1500 UTC;0;1003,4;1004,2;1003,4;3000,5;31,8;24,2;31,8;29,4;25,5;23,6;75;64;64;92;7,6;2,3;
2021/01/01;1600 UTC;0;1002,4;1003,4;1002,4;2550,1;31,3;24,2;32;29,9;25,4;23,5;73;63;66;107;6,8;1,7;
