REGIAO:;SE
UF:;ES
ESTACAO:;LINHARES
CODIGO (WMO):;A614
LATITUDE:;-19,35694444
LONGITUDE:;-40,0686111
ALTITUDE:;40
DATA DE FUNDACAO:;27/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;1011;1011;1010,3;;24,1;19,2;24,7;23,9;19,3;18,9;74;71;74;10;3,9;1,8;
2021/01/01;0100 UTC;0;1011,4;1011,4;1011;;24,1;19;24,5;23,6;19,6;19;76;73;73;325;3,3;1,4;
2021/01/01;0200 UTC;0;1011;1011,4;1011;;23,7;19;24,2;23,2;19,3;18,8;77;73;75;330;3,3;1,3;
2021/01/01;0300 UTC;0;1010,2;1011;1010,2;;22,7;19,1;23,7;22,7;19,2;18,8;80;75;80;359;1,9;1,6;
2021/01/01;0400 UTC;0;1009,6;1010,2;1009,6;;22,9;19,4;23,1;22,6;19,5;19;82;79;81;334;2,1;1,8;
2021/01/01;0500 UTC;0;1009,3;1009,6;1009,3;;23;19,1;23;22,2;19,7;18,8;83;79;79;335;3,1;2,7;
2021/01/01;0600 UTC;0;1009;1009,3;1008,9;;23,1;19,8;23,1;22,9;19,8;19;82;79;82;325;3,8;3;
2021/01/01;0700 UTC;0;1009,6;1009,6;1009;;23,6;19,6;23,8;23,1;20;19,2;82;77;78;321;6,4;3,4;
2021/01/01;0800 UTC;0;1009,9;1009,9;1009,5;;23,1;19,4;23,7;23,1;20;19,4;80;78;79;337;5,4;3,1;
2021/01/01;0900 UTC;0;1010,5;1010,6;1009,9;182,6;23,5;19,6;23,5;22,8;19,7;19,3;81;79;79;332;5,3;3,6;
