REGIAO:;SE
UF:;MG
ESTACAO:;MONTE VERDE
CODIGO (WMO):;A509
LATITUDE:;-22,86166666
LONGITUDE:;-46,04333333
ALTITUDE:;1544,89
DATA DE FUNDACAO:;19/12/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;849;849;848,9;;16,6;;16,8;16,5;;;;;;308;3,2;1;
2021/01/01;0100 UTC;0;848,7;849;848,7;;16,3;;16,7;16,3;;;;;;291;4,1;1,5;
2021/01/01;0200 UTC;0;848,4;848,7;848,3;;16,5;;16,5;15,9;;;;;;296;6,2;2,9;
2021/01/01;0300 UTC;0;847,8;848,5;847,8;;16,2;;16,7;16,1;;;;;;297;6,2;1,9;
2021/01/01;0400 UTC;0;847,1;847,8;847,1;;15,5;;16,2;15,5;;;;;;304;6,6;1;
2021/01/01;0500 UTC;0;846,5;847,2;846,5;;14,8;;15,5;14,8;;;;;;293;1,8;,7;
2021/01/01;0600 UTC;0;846,9;846,9;846,5;;14,6;;14,8;14,6;;;;;;302;1,5;,5;
2021/01/01;0700 UTC;0;847,3;847,3;846,8;;14,5;;14,6;14,4;;;;;;296;1,2;0;
2021/01/01;0800 UTC;0;847,8;847,8;847,3;;14,6;;14,6;14,5;;;;;;308;1,5;,6;
2021/01/01;0900 UTC;,4;848,3;848,3;847,8;22,9;15;;15;14,6;;;;;;290;1,3;0;
2021/01/01;1000 UTC;,8;848,2;848,3;848,1;294,7;15,8;;15,9;15;;;;;;291;1,6;,7;
2021/01/01;1100 UTC;,6;848,8;848,8;848,2;389,4;16,5;;16,6;15,8;;;;;;300;1,5;,2;
2021/01/01;1200 UTC;,2;849;849;848,8;979;17,3;;17,9;16,5;;;;;;299;3,1;1,1;
2021/01/01;1300 UTC;0;848,9;849;848,9;1051;18,4;;18,4;17,2;;;;;;299;5,5;,7;
2021/01/01;1400 UTC;,4;849,2;849,2;848,9;929,1;18,1;;18,4;17,5;;;;;;295;4;1,5;
2021/01/01;1500 UTC;,4;849,2;849,3;849,2;1102,8;18,1;;18,2;17,4;;;;;;291;4,3;2,5;
2021/01/01;1600 UTC;0;848,5;849,3;848,5;1126,4;18,2;;18,4;17,2;;;;;;299;5,2;1,6;
2021/01/01;1700 UTC;0;847,8;848,5;847,8;2711,1;20,9;;21,8;18,2;;;;;;293;4,5;1,9;
2021/01/01;1800 UTC;,2;847,3;847,8;847,3;2066,8;21,2;;22,6;20,7;;;;;;294;5,1;2,5;
2021/01/01;1900 UTC;0;847,3;847,5;847,3;1570,8;21,6;;21,6;20;;;;;;293;5,1;2;
2021/01/01;2000 UTC;0;847,5;847,5;847;1185,5;20,1;;22,2;19,6;;;;;;297;4,7;1,7;
2021/01/01;2100 UTC;0;847,6;847,9;847,5;269;17,9;;20,1;17,9;;;;;;316;3,4;,1;
2021/01/01;2200 UTC;0;848,1;848,2;847,6;11,9;16,5;;17,9;16,5;;;;;;303;1,2;,1;
2021/01/01;2300 UTC;0;848,7;848,7;848,1;;16,2;;16,7;16,2;;;;;;309;3,6;,7;
2021/01/02;0000 UTC;0;848,8;848,8;848,5;;15,4;;16,2;15,4;;;;;;291;1,8;,9;
2021/01/02;0100 UTC;0;849,2;849,2;848,7;;15,2;;15,8;15,1;;;;;;308;2;,9;
2021/01/02;0200 UTC;0;848,7;849,2;848,7;;15,6;;15,6;15,1;;;;;;295;1,9;,5;
2021/01/02;0300 UTC;0;848,5;848,8;848,5;;15,6;;15,6;14,9;;;;;;298;3,1;1,4;
2021/01/02;0400 UTC;0;847,6;848,5;847,6;;15,4;;15,8;15,2;;;;;;295;2,9;1;
2021/01/02;0500 UTC;0;847,1;847,6;847;;14,6;;15,4;14,6;;;;;;300;2,2;,8;
2021/01/02;0600 UTC;0;847,1;847,2;847;;14,1;;14,9;14;;;;;;306;2,6;,4;
2021/01/02;0700 UTC;0;847,1;847,2;847,1;;13,5;;14,1;13,4;;;;;;311;1,3;,3;
2021/01/02;0800 UTC;0;847,4;847,4;847,1;;13,3;;13,8;13;;;;;;306;1,7;,5;
2021/01/02;0900 UTC;0;847,8;847,8;847,4;59,2;13,8;;13,8;13,1;;;;;;304;1,7;0;
