REGIAO:;SE
UF:;MG
ESTACAO:;VICOSA
CODIGO (WMO):;A510
LATITUDE:;-20,762607
LONGITUDE:;-42,864013
ALTITUDE:;697,64
DATA DE FUNDACAO:;15/09/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;935,5;935,5;934,7;;21,7;19,5;22,8;21,4;19,6;19;88;79;87;65;2,2;,4;
2021/01/01;0100 UTC;0;935,6;935,8;935,5;;20,9;19,1;21,7;20,8;19,5;19,1;91;87;89;81;1,4;,3;
2021/01/01;0200 UTC;0;935,2;935,6;935,2;;20,2;19,1;20,9;20,1;19,2;18,8;93;89;93;74;1,4;0;
2021/01/01;0300 UTC;0;934,9;935,3;934,9;;19,7;18,9;20,2;19,7;19,1;18,8;95;93;95;318;,8;,1;
2021/01/01;0400 UTC;0;934,2;934,9;934,2;;19,6;18,9;19,8;19,4;19,1;18,6;96;95;96;107;1,3;0;
2021/01/01;0500 UTC;0;933,8;934,3;933,8;;19,5;18,8;19,7;19,5;19;18,8;96;96;96;67;,8;,1;
2021/01/01;0600 UTC;0;933,5;933,8;933,4;;18,9;18,2;19,5;18,8;18,8;18;96;95;96;57;1,1;,4;
2021/01/01;0700 UTC;0;933,9;933,9;933,5;;18,3;17,6;19,1;18,3;18,3;17,6;96;95;96;133;1,1;0;
2021/01/01;0800 UTC;0;934,7;934,7;933,8;;18,1;17,5;18,4;17,9;17,8;17,4;97;96;97;208;1;0;
2021/01/01;0900 UTC;0;935,5;935,5;934,7;68,3;19,8;17,9;19,8;18;18,4;17,5;97;89;89;25;3,9;1,4;
2021/01/01;1000 UTC;0;936;936,1;935,5;187,5;21,6;18,2;21,6;19,7;18,2;17,8;89;81;81;46;4,2;1,4;
2021/01/01;1100 UTC;0;936,4;936,4;936;1785,5;24,5;18,2;24,5;21,6;18,7;17,8;81;68;68;44;5,6;2;
