REGIAO:;SE
UF:;MG
ESTACAO:;TEOFILO OTONI
CODIGO (WMO):;A527
LATITUDE:;-17,89284
LONGITUDE:;-41,515423
ALTITUDE:;467,17
DATA DE FUNDACAO:;25/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;961,3;961,3;960,2;;23,4;16,3;27;22,9;16,3;13,6;65;44;64;236;5,8;3;
2021/01/01;0100 UTC;0;961,9;961,9;961,3;;23,9;17,2;24,5;23,4;17,3;15,8;67;59;66;236;5,8;2,5;
2021/01/01;0200 UTC;0;961,9;962,1;961,9;;23;17,8;23,9;23;17,9;17,2;73;66;73;236;4,5;1,3;
2021/01/01;0300 UTC;0;961,1;961,9;961,1;;22,3;18;23,1;22,3;18,1;17,7;77;72;77;236;3;1,8;
2021/01/01;0400 UTC;0;960,7;961,1;960,7;;21,4;18,1;22,3;21,4;18,1;17,9;81;77;81;236;3,4;1,6;
2021/01/01;0500 UTC;0;960,3;960,7;960,3;;20,8;17,9;21,5;20,8;18,2;17,9;83;81;83;236;2,5;,2;
2021/01/01;0600 UTC;0;960;960,4;960;;20,2;17,9;20,8;20,2;18;17,8;86;83;86;236;1,2;,3;
2021/01/01;0700 UTC;0;960,5;960,5;960;;20;17,9;20,2;20;18,1;17,8;88;86;88;236;1,1;0;
2021/01/01;0800 UTC;0;961,1;961,1;960,4;;19,4;17,8;20;19,4;18;17,7;91;88;91;236;,7;0;
2021/01/01;0900 UTC;0;961,7;961,7;961,1;59,4;19,6;17,8;19,8;19,4;18,2;17,8;91;89;89;236;,7;,1;
2021/01/01;1000 UTC;0;962,3;962,3;961,7;283,9;20,9;18,5;20,9;19,6;18,5;17,8;90;86;86;236;1;,1;
2021/01/01;1100 UTC;0;962,3;962,3;962,2;768,3;22,2;18,3;22,2;20,8;18,6;18,1;86;79;79;236;3,4;1,7;
2021/01/01;1200 UTC;0;962,4;962,5;962,3;2379,8;24,2;18,3;24,3;22;18,8;17,6;79;69;69;236;4,6;1,8;
2021/01/01;1300 UTC;0;962,4;962,5;962,3;3200,6;26,4;18,5;27;24;19;18;71;61;62;236;4,9;2;
2021/01/01;1400 UTC;0;961,9;962,4;961,9;3602,6;28,6;17,2;29,2;26,4;19,1;16,9;62;49;50;236;5,1;1,1;
2021/01/01;1500 UTC;0;961,5;961,9;961,5;3213,5;31,1;14,9;31,1;28;17,6;12,8;51;34;37;236;4,6;,8;
2021/01/01;1600 UTC;0;960,5;961,5;960,4;3435,8;31;14,8;32,3;29,1;16;13,7;44;34;37;236;5,6;2;
2021/01/01;1700 UTC;0;959,6;960,5;959,6;2732,7;32,3;14,2;32,3;30,3;15,4;13,8;39;34;34;236;5,6;1;
2021/01/01;1800 UTC;0;958,7;959,6;958,6;3001,3;32,3;14,5;32,9;31,3;14,9;13,2;35;32;34;236;5,4;1,3;
2021/01/01;1900 UTC;0;958,1;958,7;958,1;2244,4;31,5;13,9;33,1;31,3;15,7;13,8;37;33;34;236;5,9;2,7;
2021/01/01;2000 UTC;0;958,2;958,2;958;1329,3;31,1;13,4;32,2;31;14,7;13,2;36;33;34;236;5,7;1,5;
2021/01/01;2100 UTC;0;958,1;958,2;958;542,6;29,8;13,9;31,7;29,8;14,2;13,1;38;33;38;236;5,2;2,4;
2021/01/01;2200 UTC;0;958,4;958,4;958,1;12,2;28,6;14,5;29,8;28,5;14,5;13,8;42;38;42;236;3,9;1,6;
2021/01/01;2300 UTC;0;959,1;959,1;958,4;;27,9;15,2;28,6;27,9;15,3;14,5;46;42;46;236;2,5;,1;
2021/01/02;0000 UTC;0;959,8;959,8;959;;25,1;16,5;27,9;25,1;16,9;15,1;59;46;59;236;5,1;1;
2021/01/02;0100 UTC;0;960,4;960,4;959,6;;25;18,2;25,4;24,7;18,2;16,6;66;59;66;236;8,4;2,3;
2021/01/02;0200 UTC;0;960,4;960,5;960,3;;24;18,5;25;23,9;18,6;17,9;72;66;71;236;4,8;1,8;
2021/01/02;0300 UTC;0;960,1;960,4;960,1;;23,2;18,6;24,2;23,2;18,7;18,4;75;71;75;236;3,9;1,8;
2021/01/02;0400 UTC;0;960,2;960,2;960;;22,7;18,3;23,2;22,7;18,6;18,3;77;75;77;236;3,5;1,5;
2021/01/02;0500 UTC;0;959,9;960,2;959,9;;22,1;18,4;22,7;22,1;18,5;18,3;79;77;79;236;2,6;1,3;
2021/01/02;0600 UTC;0;959,8;959,9;959,7;;21,9;18,5;22,1;21,9;18,6;18,3;81;79;81;236;2,1;,1;
2021/01/02;0700 UTC;0;960,4;960,4;959,8;;21,8;18,7;21,9;21,7;18,9;18,5;83;81;83;236;1,4;,5;
2021/01/02;0800 UTC;0;960,9;960,9;960,3;;21,9;18,5;22,1;21,8;18,9;18,5;83;80;81;236;1,4;0;
2021/01/02;0900 UTC;0;961,2;961,2;960,9;36;22;18,8;22,1;21,7;18,9;18,5;84;81;82;236;1,4;0;
2021/01/02;1000 UTC;0;961,2;961,3;961,1;337,7;22,5;18,6;22,5;22;18,8;18,4;82;78;79;236;,9;,1;
2021/01/02;1100 UTC;0;961,1;961,2;961;1090,1;24;19,1;24,2;22,5;19,4;18,5;79;74;74;236;2,8;1,2;
2021/01/02;1200 UTC;0;960,9;961,2;960,9;1708,2;25,3;19,4;25,3;23,6;19,6;18,8;75;70;70;236;2,9;1,4;
2021/01/02;1300 UTC;0;960,7;961;960,6;3123,6;27,3;18,8;28,1;25,3;19,9;18,5;70;57;60;236;5,4;2,5;
2021/01/02;1400 UTC;0;960,4;960,7;960,4;3777,7;28,5;18,7;29;27,3;19,8;18,4;61;55;55;236;7;3,1;
2021/01/02;1500 UTC;0;959,9;960,4;959,9;2865,3;29,8;18,1;30,7;27,3;19,2;17,2;58;46;49;236;5,7;2,4;
2021/01/02;1600 UTC;0;959,3;959,9;959,3;2434,4;29,9;16,7;30,2;28,9;18,9;16,7;53;45;45;236;6,4;3;
2021/01/02;1700 UTC;0;958,1;959,3;958,1;2437;30,5;16,7;30,8;29,4;18,1;16,3;48;43;44;236;6,3;2;
2021/01/02;1800 UTC;0;957;958,1;957;2289,5;30,6;16,2;31,7;29,8;17,5;15,9;44;40;42;236;6,8;2,3;
2021/01/02;1900 UTC;0;956,5;957;956,4;1508,3;30,7;15,5;31,4;30,2;17,1;15,1;44;39;40;236;6,8;3,4;
2021/01/02;2000 UTC;0;956,3;956,5;956,2;1476;31,2;13,6;31,7;30,7;15,9;12,2;40;31;34;236;5,2;1,9;
2021/01/02;2100 UTC;0;956,4;956,4;956,3;426;28,9;14,5;31,4;28,9;14,5;13;42;33;42;236;3,9;1,4;
2021/01/02;2200 UTC;0;956,7;956,7;956,3;4,9;28,2;15,6;29,1;28,1;15,7;14,6;47;42;46;236;3,5;,5;
2021/01/02;2300 UTC;0;958;958;956,7;;26,4;19,2;28,3;26,4;19,2;15,6;65;46;65;236;9,1;4,1;
2021/01/03;0000 UTC;0;958,9;958,9;958;;25,6;19,9;26,4;25,4;19,9;19,2;71;65;71;236;8,3;3,1;
2021/01/03;0100 UTC;0;959,4;959,4;958,9;;24,9;19,6;25,5;24,9;20;19,5;73;71;72;236;7,4;3,2;
2021/01/03;0200 UTC;0;959,4;959,6;959,4;;24,2;19,2;24,9;24,2;19,5;19;73;71;73;236;6,5;1,9;
2021/01/03;0300 UTC;0;958,5;959,4;958,5;;23,4;18,6;24,3;23,4;19,2;18,5;75;73;74;236;5;2,8;
2021/01/03;0400 UTC;0;958,1;958,6;958,1;;22,6;18,3;23,5;22,6;18,6;18,3;77;74;77;236;4,7;1,1;
2021/01/03;0500 UTC;0;957,7;958,1;957,7;;22;18,3;22,7;22;18,4;18,2;79;76;79;236;4,6;3,2;
2021/01/03;0600 UTC;0;957,7;957,7;957,6;;21,9;18,6;22,1;21,9;18,6;18,3;81;79;81;236;4,8;2,7;
2021/01/03;0700 UTC;0;957,9;957,9;957,6;;21,8;18,8;21,9;21,8;18,9;18,6;83;81;83;236;4,9;,9;
2021/01/03;0800 UTC;0;958,7;958,7;957,9;;21,7;19;21,9;21,7;19,1;18,8;85;83;85;236;2,2;,5;
2021/01/03;0900 UTC;0;959,5;959,5;958,7;51,5;21,9;19,4;21,9;21,6;19,4;19;86;85;86;236;1;,1;
2021/01/03;1000 UTC;0;960;960;959,5;165,8;22,2;19,3;22,3;21,8;19,6;19,2;86;84;84;236;1,6;,4;
2021/01/03;1100 UTC;0;960,3;960,3;960;599,3;23,5;19,7;23,5;22,1;19,7;19,3;85;79;79;236;2,3;,7;
2021/01/03;1200 UTC;0;960,4;960,4;960,3;801,7;23,4;19,9;23,8;23,2;19,9;19,2;81;77;81;236;2,3;,2;
2021/01/03;1300 UTC;0;960,1;960,4;960,1;2158;25,5;19,4;26,2;23,5;20,2;18,9;81;67;69;236;3,4;,9;
2021/01/03;1400 UTC;0;959,4;960,1;959,3;2408,6;28,4;19,6;28,4;25,2;19,8;18,4;70;59;59;236;4,6;2,2;
2021/01/03;1500 UTC;0;958,8;959,4;958,8;3552,2;29,1;17,5;30,2;27;19,6;17,5;60;49;50;236;7,5;3,6;
2021/01/03;1600 UTC;0;958;958,9;958;2825,2;30,1;17,9;31,3;28,3;19,1;17,1;54;47;48;236;7,5;2,1;
2021/01/03;1700 UTC;0;957,3;958;957,3;2519,6;29,9;18,2;31,6;29,4;19;16,9;51;42;50;236;5,9;2,1;
2021/01/03;1800 UTC;0;956,5;957,3;956,5;532,8;28,5;18,6;29,9;28,4;19;17,8;56;49;55;236;4,8;1,6;
2021/01/03;1900 UTC;0;956,7;956,7;956,2;113;26,1;20,1;28,6;26,1;20,2;18,6;70;55;70;236;4,6;3;
2021/01/03;2000 UTC;0;957;957;956,5;96,1;24,6;21,3;26,1;24,5;21,4;20,2;83;70;82;236;5,5;,6;
2021/01/03;2100 UTC;,6;957,5;957,5;956,6;24,4;23,4;21,5;24,5;23,4;21,8;21,3;89;83;89;236;4,1;,7;
2021/01/03;2200 UTC;2,4;958;958;957,5;;22,2;20,8;23,5;22,2;21,7;20,8;92;89;92;236;3,6;1;
2021/01/03;2300 UTC;,2;958,4;958,4;957,9;;22;20,7;22,5;21,9;20,9;20,5;92;90;92;236;2,2;,7;
2021/01/04;0000 UTC;0;959,3;959,3;958,4;;21,7;20,5;22;21,7;20,8;20,5;93;92;93;236;2,9;1,3;
2021/01/04;0100 UTC;0;960,1;960,1;959,3;;21,8;20,6;22,1;21,6;21,1;20,5;94;93;93;236;3;,2;
2021/01/04;0200 UTC;,6;959,7;960,3;959,7;;21,5;20,2;22,2;21,5;20,9;20,1;94;91;92;236;6,5;2,6;
2021/01/04;0300 UTC;,2;959;959,7;958,9;;21,5;20,1;21,5;21,3;20,2;19,9;92;91;92;236;4,8;1,9;
2021/01/04;0400 UTC;0;958,6;959,2;958,6;;21,2;19,6;21,5;21,2;20,1;19,6;92;90;91;236;4,8;,8;
2021/01/04;0500 UTC;0;958,3;958,6;958,2;;21,1;19,5;21,2;21,1;19,7;19,5;91;90;90;236;2,5;1,1;
2021/01/04;0600 UTC;0;958,5;958,5;958,3;;20,6;19,2;21,1;20,6;19,5;19,1;92;90;92;236;4;,3;
2021/01/04;0700 UTC;0;959,3;959,3;958,5;;20,6;19,3;20,7;20,5;19,3;19,2;92;92;92;236;1;,2;
2021/01/04;0800 UTC;0;960,5;960,5;959,3;;20,7;19,5;20,7;20,5;19,5;19,2;93;92;93;236;1,2;,2;
2021/01/04;0900 UTC;0;961,6;961,6;960,5;10,3;20,7;19,4;20,9;20,6;19,7;19,4;93;93;93;236;1,4;,4;
2021/01/04;1000 UTC;0;962,1;962,1;961,5;155,9;20,9;19,6;21,1;20,6;19,8;19,4;93;92;92;236;1,9;,8;
2021/01/04;1100 UTC;0;961,9;962,1;961,9;244,8;21,2;19,8;21,4;20,9;20;19,5;92;91;92;236;3,3;1,7;
2021/01/04;1200 UTC;0;962,4;962,4;961,9;639;22,2;19,5;22,5;21,2;20,2;19,5;92;85;85;236;3,3;,6;
2021/01/04;1300 UTC;,2;962,5;962,6;962,3;1309,3;24,1;20,1;24,1;22,1;20,3;18,9;86;76;78;236;2,3;,1;
2021/01/04;1400 UTC;0;962,1;962,5;962,1;1685,9;24,5;19,5;24,7;23,5;19,7;18,3;78;69;74;236;2,3;,5;
2021/01/04;1500 UTC;0;961,8;962,1;961,7;1369,6;25,2;19;25,2;24;19,8;17,9;74;67;69;236;1,9;,4;
2021/01/04;1600 UTC;0;961,2;961,8;961,2;2148,6;25,8;18,5;27,4;24,7;19,8;18,1;70;61;64;236;3,4;1,1;
2021/01/04;1700 UTC;0;960,4;961,2;960,4;3010,5;28,2;19,1;28,7;25,8;19,7;17,8;66;54;58;236;3,3;,6;
2021/01/04;1800 UTC;0;960,1;960,4;960,1;2572,1;29,7;18,7;29,8;27,6;19,8;17,9;60;52;52;236;2,8;,6;
2021/01/04;1900 UTC;0;959,9;960,1;959,9;1580,8;29,2;18,3;29,7;27,7;19,5;18;59;51;52;236;3,5;1,3;
2021/01/04;2000 UTC;0;959,8;959,9;959,7;1126,5;28,5;18,5;29,2;28,1;19,2;17,8;56;51;55;236;3,5;,3;
2021/01/04;2100 UTC;0;959,8;959,8;959,7;306,9;27,2;19,5;28,6;27,2;19,8;18,3;64;55;63;236;1,6;,1;
2021/01/04;2200 UTC;0;960;960,1;959,8;19;26,4;19,5;27,2;26,3;19,9;19,4;68;63;66;236;1,8;,6;
2021/01/04;2300 UTC;0;960,8;960,9;960;;25,6;19,8;26,4;25,5;19,8;19,4;70;66;70;236;1,5;0;
2021/01/05;0000 UTC;0;961,2;961,2;960,9;;24,9;20,3;25,6;24,8;20,4;19,8;76;70;75;236;,8;0;
2021/01/05;0100 UTC;0;961,9;961,9;961,2;;23,4;20,9;24,9;23,4;20,9;20;86;75;86;236;2,8;,9;
2021/01/05;0200 UTC;0;961,5;961,9;961,5;;23,7;20,9;23,9;23,4;21,1;20,8;87;83;84;236;3,3;,5;
2021/01/05;0300 UTC;0;961,2;961,5;961,2;;23,8;20,6;23,9;23,6;20,9;20,6;84;82;82;236;4,9;3,1;
2021/01/05;0400 UTC;0;960,9;961,2;960,9;;23,3;20,2;23,8;23,3;20,6;20,2;83;82;83;236;5,8;3,5;
2021/01/05;0500 UTC;0;960,8;960,9;960,8;;22,7;19,7;23,3;22,7;20,2;19,7;83;82;83;236;7,2;2,7;
2021/01/05;0600 UTC;0;960,8;960,9;960,8;;22,4;19,6;22,7;22,3;19,8;19,5;84;83;84;236;4,6;2;
2021/01/05;0700 UTC;0;961,1;961,1;960,7;;22;19,8;22,4;22;19,8;19,5;87;84;87;236;4,1;,6;
2021/01/05;0800 UTC;0;961,8;961,8;961;;21,8;19,7;22,1;21,8;19,8;19,6;88;86;88;236;2,7;1,4;
2021/01/05;0900 UTC;0;962,4;962,4;961,7;43,1;21,7;19,9;21,8;21,6;19,9;19,7;90;88;90;236;2,3;,3;
2021/01/05;1000 UTC;0;962,6;962,7;962,4;199,3;22,2;20,3;22,2;21,6;20,3;19,8;91;89;89;236;1,7;,5;
2021/01/05;1100 UTC;0;963;963;962,6;525,7;22,8;20,2;22,8;22,1;20,4;19,9;89;84;85;236;3,3;,9;
2021/01/05;1200 UTC;0;963,1;963,2;962,9;776,1;23,3;20,5;23,3;22,4;20,6;19,7;87;83;84;236;3,4;,5;
2021/01/05;1300 UTC;0;963;963,1;963;2449,6;26,7;20,2;27;23,3;21,1;19,7;84;67;67;236;4,2;,6;
2021/01/05;1400 UTC;0;962,8;963,1;962,8;1419,5;25,9;19,8;27;25,2;20,5;19,4;74;65;69;236;3,9;1,5;
2021/01/05;1500 UTC;0;962,1;962,8;962,1;1890,6;26,6;19,4;27,4;25,9;20,5;19,1;70;62;65;236;4,3;,9;
2021/01/05;1600 UTC;0;961,6;962,1;961,6;1559,4;27,3;19,6;28,1;26,4;20,3;18,4;67;58;63;236;3,8;1,8;
