REGIAO:;SE
UF:;MG
ESTACAO:;GUANHAES
CODIGO (WMO):;A533
LATITUDE:;-18,78694444
LONGITUDE:;-42,94305555
ALTITUDE:;852,68
DATA DE FUNDACAO:;02/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;919;919;918,6;;22,8;16,6;23,5;22,7;16,6;16,4;68;65;68;62;5,4;1,3;
2021/01/01;0100 UTC;;919,2;919,2;918,9;;22;16,6;22,8;22;16,7;16,5;72;68;71;67;2,8;1,6;
2021/01/01;0200 UTC;;919,1;919,3;919,1;;21,6;16,4;22;21,5;16,6;16,2;72;71;72;55;2,8;1,2;
2021/01/01;0300 UTC;;918,8;919,1;918,8;;20,4;16,4;21,6;20,2;17,2;16,3;82;72;77;24;2,3;,1;
2021/01/01;0400 UTC;;918,1;918,9;918,1;;20;17;20,7;19,9;17,2;16,5;84;77;83;19;,9;,2;
2021/01/01;0500 UTC;;917,5;918,1;917,5;;19,1;16,9;20;18,7;17,1;16,6;88;82;87;83;,9;,5;
2021/01/01;0600 UTC;;917,5;917,6;917,5;;18,4;16,7;19,2;18,3;16,9;16,5;90;85;90;150;1,5;,4;
2021/01/01;0700 UTC;;917,7;917,7;917,4;;17,7;16,1;18,6;17,7;16,8;16,1;91;88;91;29;2,3;,3;
2021/01/01;0800 UTC;;918,2;918,2;917,7;;17,7;15,7;18,2;17,4;16,1;15,6;91;85;88;64;2,2;1,3;
2021/01/01;0900 UTC;;919;919;918,2;20,1;17,6;15,4;17,8;17,6;15,6;15,1;88;85;87;66;2,1;,9;
2021/01/01;1000 UTC;;919,5;919,5;919;247,3;19,9;16;20;17,6;16,5;15,5;87;78;78;275;2,1;,1;
2021/01/01;1100 UTC;;919,7;919,7;919,4;757,2;22,4;16,7;22,5;19,8;17,2;15,7;81;69;70;71;3,9;1,6;
2021/01/01;1200 UTC;;920;920;919,7;2248,2;25,2;17,7;25,2;22,3;17,8;16,7;72;62;63;64;3,9;1;
2021/01/01;1300 UTC;;920,2;920,2;920;3024,9;28,1;17,4;28,4;25;18,9;16,9;64;52;52;43;3,8;,9;
2021/01/01;1400 UTC;;919,8;920,2;919,8;3206,1;27,8;16;28,6;26,8;18,9;15,9;60;48;49;52;3,9;1,4;
2021/01/01;1500 UTC;;919,1;919,8;919,1;3789,9;29,2;17,3;29,6;27,5;18,5;15,8;52;46;49;113;5,3;1,6;
