REGIAO:;SE
UF:;MG
ESTACAO:;RIO PARDO DE MINAS
CODIGO (WMO):;A551
LATITUDE:;-15,72305554
LONGITUDE:;-42,43583333
ALTITUDE:;850,06
DATA DE FUNDACAO:;17/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;919,6;919,6;919,1;;21,3;15,3;22,1;21,2;16,5;15,3;73;67;69;125;0;0;
2021/01/01;0100 UTC;;920;920;919,6;;18,3;15,6;21,3;18;16,1;14,7;84;68;84;288;0;0;
2021/01/01;0200 UTC;;919,6;920;919,6;;19,4;15,9;19,5;18,3;16;15,5;84;80;80;115;0;0;
2021/01/01;0300 UTC;;919,6;919,7;919,5;;18,4;15,3;19,4;18,4;15,9;15,1;82;79;82;106;0;0;
2021/01/01;0400 UTC;;919,5;919,7;919,3;;18,3;15,7;18,5;17,6;15,7;15;87;82;85;80;0;0;
2021/01/01;0500 UTC;;919,2;919,5;919,1;;16,8;15,2;18,4;16,7;15,8;14,9;91;84;91;81;0;0;
2021/01/01;0600 UTC;;919,1;919,3;919;;16,9;15,3;17,9;16,8;16,2;15,3;91;88;90;327;0;0;
2021/01/01;0700 UTC;;919,4;919,4;919,1;;17,6;15,6;18,2;16,2;16,3;14,8;94;86;88;26;0;0;
2021/01/01;0800 UTC;;920;920;919,4;;16,6;15,4;17,7;15,9;15,8;14,3;94;88;93;24;0;0;
2021/01/01;0900 UTC;;920,7;920,7;920;67,6;18,1;16,3;18,1;16,4;16,3;15,2;93;89;89;21;0;0;
