REGIAO:;SE
UF:;MG
ESTACAO:;PARACATU
CODIGO (WMO):;A571
LATITUDE:;-17,24444444
LONGITUDE:;-46,88166666
ALTITUDE:;705
DATA DE FUNDACAO:;16/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;933,1;933,1;932,5;;25,5;17,5;27,1;25,5;18,2;16,3;62;52;61;96;2,1;,3;
2021/01/01;0100 UTC;0;933;933,1;933;;24,6;18,4;25,6;24,5;18,4;17,3;69;60;69;15;1;,5;
2021/01/01;0200 UTC;0;933;933,1;933;;25,6;15,7;25,7;24;18,5;15,5;69;54;55;274;2,3;,9;
2021/01/01;0300 UTC;0;932,6;933,1;932,6;;24,1;16,6;25,6;23,8;17,4;15,2;67;54;63;220;3,6;,6;
2021/01/01;0400 UTC;0;932,2;932,6;932,2;;23,2;17;24,2;23;17,1;15,7;69;60;68;346;3,3;,4;
2021/01/01;0500 UTC;0;932;932,2;931,9;;23,3;17,5;24,1;23,2;17,8;17;71;65;70;229;1,2;,4;
2021/01/01;0600 UTC;0;932;932,1;932;;23,9;17,3;24,1;22,6;17,7;17,2;72;66;67;232;2,5;,9;
2021/01/01;0700 UTC;0;932;932;931,8;;23,8;17,4;24,1;23,2;17,5;17,1;69;66;67;252;2,5;1;
2021/01/01;0800 UTC;0;932,4;932,4;931,9;;23,6;17,6;23,8;21,8;17,8;17,1;76;67;69;241;2;1;
2021/01/01;0900 UTC;0;933;933;932,4;20,5;22,6;17,8;23,7;22,6;17,9;17,5;74;69;74;172;2,2;1;
2021/01/01;1000 UTC;0;933,8;933,8;933;316,9;23,9;18,9;23,9;21,9;19;17,8;79;73;74;88;4,5;1,1;
