REGIAO:;SE
UF:;RJ
ESTACAO:;TRES RIOS
CODIGO (WMO):;A625
LATITUDE:;-22,09833333
LONGITUDE:;-43,20833333
ALTITUDE:;295
DATA DE FUNDACAO:;08/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;978,4;978,8;978;;22,4;22,4;22,9;22,2;22,8;22,2;100;97;100;326;2,6;,5;
2021/01/01;0100 UTC;0;978,9;978,9;978,4;;21,9;21,9;22,5;21,8;22,5;21,8;100;99;100;43;1,7;,7;
2021/01/01;0200 UTC;0;978,7;979,3;978,7;;21,5;21,5;22,3;21,5;22,3;21,5;100;100;100;17;1,5;,3;
2021/01/01;0300 UTC;0;978,2;978,7;978,2;;21,2;21,1;21,7;21,2;21,7;21,1;100;100;100;23;1;,3;
2021/01/01;0400 UTC;0;977,6;978,2;977,5;;20,9;20,9;21,2;20,9;21,2;20,9;100;100;100;356;1;,3;
2021/01/01;0500 UTC;0;977,4;977,7;977,4;;20,7;20,7;21,1;20,7;21,1;20,7;100;100;100;94;,8;,2;
2021/01/01;0600 UTC;0;977;977,4;977;;20,4;20,4;20,8;20,4;20,8;20,4;100;100;100;13;,9;,4;
2021/01/01;0700 UTC;,2;977;977,2;976,9;;20,5;20,4;20,5;20,3;20,5;20,3;100;100;100;44;1;,4;
2021/01/01;0800 UTC;0;977,6;977,6;977;;20,5;20,5;20,8;20,5;20,8;20,5;100;100;100;56;1,1;,3;
2021/01/01;0900 UTC;0;978,5;978,5;977,6;;20,6;20,6;20,7;20,5;20,6;20,5;100;100;100;336;1,4;,4;
2021/01/01;1000 UTC;0;978,9;978,9;978,5;;21,7;21,7;21,7;20,6;21,7;20,6;100;100;100;39;1,7;,6;
2021/01/01;1100 UTC;0;979,4;979,4;978,9;;23;22,9;23;21,4;23;21,4;100;99;99;177;2;,7;
2021/01/01;1200 UTC;0;979;979,4;979;1741,7;27,4;23,3;27,5;22,9;24,5;22,5;100;78;78;43;1,8;,5;
2021/01/01;1300 UTC;0;978,7;979,1;978,7;4380,9;29,1;23,6;29,3;26,8;25,1;21,6;83;64;72;352;2,1;,8;
2021/01/01;1400 UTC;0;978,2;978,7;978,2;1169,3;30,3;22,5;31,1;29,1;24,5;21;72;59;63;319;2,4;,9;
2021/01/01;1500 UTC;0;977,8;978,2;977,8;1567,2;31,8;23,5;31,8;30,3;24,4;22;68;57;61;105;3,1;1,2;
2021/01/01;1600 UTC;0;976,8;977,8;976,8;1889,9;32;22,6;33,7;31,7;24,6;21,3;64;51;58;150;3,1;,8;
2021/01/01;1700 UTC;0;976,4;976,8;976,3;1582,2;28;21;32,2;28;23,3;20,8;68;52;66;232;6;1,9;
2021/01/01;1800 UTC;0;976,6;976,6;975,9;666,5;29,3;23,6;29,3;27,1;23,6;20,6;78;64;71;6;5,1;1,2;
