REGIAO:;SE
UF:;SP
ESTACAO:;ITAPEVA
CODIGO (WMO):;A714
LATITUDE:;-23,98194443
LONGITUDE:;-48,88583333
ALTITUDE:;743,33
DATA DE FUNDACAO:;25/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;,2;930;930,3;929,7;;18,9;18,1;19;18,8;18,2;18;95;95;95;134;0;0;
2021/01/01;0100 UTC;0;930,3;930,4;930;;18,7;17,9;18,9;18,7;18,1;17,9;96;95;96;5;0;0;
2021/01/01;0200 UTC;0;930,6;930,6;930,3;;18,5;17,8;18,7;18,5;18;17,8;96;95;96;18;2,9;0;
2021/01/01;0300 UTC;0;930,6;930,7;930,5;;18,4;17,8;18,5;18,4;17,8;17,7;96;96;96;32;3,8;0;
2021/01/01;0400 UTC;0;930;930,6;930;;18,4;17,7;18,5;18,3;17,8;17,7;96;96;96;337;0;0;
2021/01/01;0500 UTC;0;929,4;930;929,4;;18,4;17,7;18,4;18,3;17,8;17,6;96;96;96;204;0;0;
2021/01/01;0600 UTC;0;929,4;929,5;929,3;;18,7;18,1;18,9;18,4;18,2;17,7;96;96;96;83;0;0;
2021/01/01;0700 UTC;0;929,3;929,4;929,2;;18,7;18;18,8;18,5;18,1;17,9;96;96;96;104;0;0;
2021/01/01;0800 UTC;0;930;930;929,3;;18,8;18,1;18,8;18,5;18,2;17,9;96;96;96;71;0;0;
2021/01/01;0900 UTC;0;930,5;930,5;929,9;3,8;18,9;18,3;18,9;18,8;18,3;18,1;96;96;96;19;0;0;
