REGIAO:;SE
UF:;SP
ESTACAO:;JALES
CODIGO (WMO):;A733
LATITUDE:;-20,165
LONGITUDE:;-50,59499999
ALTITUDE:;460,44
DATA DE FUNDACAO:;22/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;0;962,4;962,4;961,9;143,8;20,8;20,2;20,8;20,4;20,2;19,9;97;96;96;131;3,4;2;
2021/01/01;1100 UTC;,2;963,4;963,4;962,5;435,5;21,6;20,7;21,8;20,8;20,9;20,2;96;94;94;87;3,3;2,1;
2021/01/01;1200 UTC;0;963,7;963,8;963,4;761,1;22,3;20,3;22,4;21,6;20,9;20,3;94;89;89;132;3,6;1,7;
2021/01/01;1300 UTC;0;963,8;963,9;963,7;1235,8;23,8;20,3;24;22,3;21,4;20,2;90;80;81;143;3,1;1,4;
2021/01/01;1400 UTC;0;963,5;963,8;963,5;3014,4;26,3;21,2;26,3;23,8;22,3;20,1;83;71;74;169;3,4;1,3;
2021/01/01;1500 UTC;0;963,4;963,5;963,3;3245,6;26,9;20,5;28,1;26,3;21,9;19,7;75;62;68;40;6,3;3,1;
2021/01/01;1600 UTC;0;962,6;963,4;962,6;1929,5;28,1;21,1;28,1;26,8;21,3;19,4;69;63;66;43;5,7;2,2;
2021/01/01;1700 UTC;0;961;962,6;961;2135,1;27,8;19,8;28,1;26,3;21,8;19;73;60;62;82;5,8;2,3;
2021/01/01;1800 UTC;0;960,3;961;960,3;2951,2;30,3;18,7;30,5;27,8;21;18,2;64;50;50;80;6,6;3,7;
2021/01/01;1900 UTC;0;959,7;960,3;959,6;2260,5;30;19,5;30,5;29;20;17,5;56;47;53;72;6,6;2,7;
2021/01/01;2000 UTC;0;959,8;959,8;959,4;1635,4;29,4;19,4;30,5;29,3;20,2;18;56;48;55;48;7,6;3,5;
2021/01/01;2100 UTC;0;960,1;960,1;959,8;364,1;27,4;20,1;29,6;27,4;20,4;18,6;65;53;64;7;6,6;3,6;
2021/01/01;2200 UTC;0;960,4;960,4;960,1;54,9;23,9;18,3;27,4;23,9;19,5;18,1;72;62;71;360;12;1,4;
2021/01/01;2300 UTC;0;960,8;960,8;960,5;;22,9;19,2;23,9;22,9;19,2;18,4;80;71;80;87;3,8;1,2;
2021/01/02;0000 UTC;0;960,7;960,8;960,7;;21,7;19,5;23;21,7;19,7;19;87;79;87;61;2,5;1,6;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1100 UTC;0;961;961,2;961;1448,8;24,9;19,9;25,3;23,1;20,7;19,3;85;71;74;202;2;,2;
2021/01/02;1200 UTC;0;961;961,2;961;2298,2;26,3;20,1;26,5;24,8;20,4;19,5;74;67;68;348;3,3;1;
2021/01/02;1300 UTC;0;961,1;961,1;960,9;2781,2;27,7;19,8;28,3;26,4;21;19,6;69;62;62;16;4,4;1,9;
2021/01/02;1400 UTC;0;960,8;961,1;960,8;3006,2;28,8;18,6;29,6;26,9;20,7;18,5;66;53;54;11;3,9;1,6;
2021/01/02;1500 UTC;0;960,6;960,8;960,6;2935,3;30,6;19,9;31;28,3;20;18,4;57;51;53;350;5,9;2,9;
2021/01/02;1600 UTC;0;959,5;960,6;959,5;3527,9;31,8;18,6;33;29,3;20;17,7;54;44;45;10;6,7;3,3;
2021/01/02;1700 UTC;0;958,3;959,5;958,3;3379,4;32;18;32,9;30,7;19,6;17,7;49;42;43;20;6,7;3;
2021/01/02;1800 UTC;0;957,6;958,3;957,6;1160,6;29,6;19,7;32;29,1;20,6;17,6;59;42;55;21;9,1;6,3;
2021/01/02;1900 UTC;0;956,6;957,6;956,5;1956,3;30,8;19,5;30,9;27,5;20;18,5;62;50;51;8;9,6;4,3;
2021/01/02;2000 UTC;0;956,5;956,8;956,5;1213,2;30,7;19,3;31,3;29,4;19,8;18,7;55;49;51;4;6,1;3,6;
2021/01/02;2100 UTC;0;956;956,5;956;743,8;30;19,1;31,4;29,6;19,9;18,3;53;48;52;343;5,4;2,6;
2021/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;1000 UTC;0;958,8;958,8;958,2;321,2;21,5;20,8;21,6;20,8;21;20,2;97;96;96;269;4,3;1,1;
2021/01/03;1100 UTC;0;959,1;959,1;958,8;957;23;21,2;23;21,3;21,5;20,6;96;90;90;214;2,9;1,1;
2021/01/03;1200 UTC;0;959,5;959,5;959,1;2056,2;25;21,3;25,1;22,6;22,3;20,7;91;78;80;38;2,6;1,2;
2021/01/03;1300 UTC;0;959,2;959,5;959,2;3039,3;27,7;21,3;27,7;25;22,3;20,7;81;68;68;4;2,6;,9;
2021/01/03;1400 UTC;0;958,9;959,2;958,9;3501,8;28,8;20,4;29,6;27,5;21,8;19,7;69;58;60;55;3,6;1,7;
2021/01/03;1500 UTC;0;958,5;958,9;958,5;3809,7;30,4;20,3;31,1;28,8;21,3;18,8;61;52;55;78;5,3;1,4;
2021/01/03;1600 UTC;0;957,6;958,5;957,6;3487,2;31,7;19;31,9;29,6;20,7;18,6;57;47;47;352;5,3;1;
2021/01/03;1700 UTC;0;956,4;957,6;956,4;3674,2;31,9;18,6;32,4;31;20;17,8;51;43;45;38;5;2,1;
2021/01/03;1800 UTC;0;955,4;956,5;955,4;2988,4;32,3;18,4;32,7;30,5;19,6;17,7;51;43;44;304;5;1,6;
2021/01/03;1900 UTC;0;954,6;955,4;954,6;2528,4;32;18,2;32,8;31,7;19,3;17,6;47;41;44;354;6,3;3,3;
2021/01/03;2000 UTC;0;954,2;954,6;954,2;1616,8;32,1;17,1;32,7;31;18,9;17;47;40;41;351;6,1;2,6;
2021/01/03;2100 UTC;0;954,6;954,6;954,2;856;31,2;16,6;32,2;31,2;17,8;16,1;43;39;42;322;4,5;1,6;
2021/01/03;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1000 UTC;0;958,1;958,2;957,7;639,2;22,5;19,2;22,5;20,5;19,4;18,8;90;81;81;230;7,8;4,4;
2021/01/04;1100 UTC;0;959,1;959,1;958,1;1399,3;24,7;19,9;24,7;22,4;20;18,9;82;75;75;194;7,9;4,7;
