REGIAO:;SE
UF:;SP
ESTACAO:;SAO PAULO - INTERLAGOS
CODIGO (WMO):;A771
LATITUDE:;-23,724501
LONGITUDE:;-46,677501
ALTITUDE:;771
DATA DE FUNDACAO:;14/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;926,3;926,3;926;;20,1;19,4;20,1;19,9;19,5;19,2;97;95;96;329;5,3;2;
2021/01/01;0100 UTC;0;925,9;926,3;925,8;;19,6;19;20,1;19,6;19,4;19;96;95;96;324;5,6;1,6;
2021/01/01;0200 UTC;0;926,1;926,1;925,9;;19,6;19;19,9;19,6;19,1;19;97;95;96;306;4,3;1,2;
2021/01/01;0300 UTC;0;926,3;926,3;926;;19,3;18,8;19,7;19,3;19,1;18,8;97;96;97;339;5,1;,6;
2021/01/01;0400 UTC;0;925,9;926,4;925,9;;19,8;19,3;19,8;19,3;19,3;18,8;98;96;97;308;5,1;1,4;
2021/01/01;0500 UTC;0;925,3;925,9;925,3;;19,8;19;20;19,7;19,3;19;97;95;95;299;5,4;1,7;
2021/01/01;0600 UTC;0;924,9;925,3;924,9;;19,4;18,9;19,8;19,4;19,1;18,8;97;95;97;273;4,8;,6;
2021/01/01;0700 UTC;0;925,1;925,1;924,8;;19,2;18,7;19,5;19,1;19;18,7;98;96;97;287;2,9;,5;
2021/01/01;0800 UTC;0;925,5;925,6;925,1;;19,2;18,8;19,3;19,2;18,9;18,7;98;97;98;323;3,1;1,4;
2021/01/01;0900 UTC;0;926,3;926,3;925,5;23,3;19,8;19,1;19,8;19,2;19,1;18,8;98;96;96;316;5,1;1,8;
2021/01/01;1000 UTC;0;926,7;926,7;926,3;161,8;20,4;19,6;20,5;19,8;19,7;19;96;93;95;313;6;1,2;
2021/01/01;1100 UTC;0;927;927;926,7;781;22,3;19,5;22,4;20,4;20,1;19,1;95;83;84;305;5;1,5;
2021/01/01;1200 UTC;0;927,6;927,6;927;697,9;22,6;19,5;22,7;21,9;20;18,7;87;81;83;306;3,9;1,5;
2021/01/01;1300 UTC;0;927,8;927,8;927,5;1433,3;23,9;20;24,2;22,5;20,3;18,5;84;73;79;294;4;,9;
2021/01/01;1400 UTC;0;927,7;927,8;927,7;1253,4;24,1;18,6;24,6;23,6;19,9;18,1;79;69;71;254;2,8;1;
2021/01/01;1500 UTC;0;927,6;927,8;927,5;1741,6;25,8;20,6;25,8;23,2;20,7;18,2;79;68;73;346;3,7;1,2;
2021/01/01;1600 UTC;0;927;927,6;927;2486,6;25,8;20;26,8;24,7;20,7;18,4;75;62;70;46;3,4;1,3;
2021/01/01;1700 UTC;0;926,1;927;926,1;1812,5;26,5;19;26,8;25,8;21,1;18,5;75;62;64;112;3,9;1,5;
2021/01/01;1800 UTC;0;925,9;926,1;925,8;738,7;22,5;20,9;26,5;22,5;21;18,2;90;62;90;160;7,4;3,7;
2021/01/01;1900 UTC;0;926,3;926,3;925,7;190,8;21,6;20,2;22,5;21,6;21,2;20,2;93;90;92;160;7,4;2,8;
2021/01/01;2000 UTC;0;925,8;926,3;925,8;375,1;22,2;20,1;22,2;21,6;20,5;19,8;93;88;88;152;5,6;2,4;
2021/01/01;2100 UTC;0;926,3;926,3;925,8;257,9;21,1;20,1;22,3;21,1;20,4;19,9;94;86;94;127;6,1;2,3;
2021/01/01;2200 UTC;,4;927,2;927,2;926,3;85,4;20,7;20;21,1;20,7;20,5;19,9;97;94;96;158;5,3;2,4;
2021/01/01;2300 UTC;0;927,5;927,5;927,1;;20,5;19,9;20,8;20,5;20,1;19,7;97;95;96;160;4,9;1,9;
2021/01/02;0000 UTC;,2;927,8;928;927,5;;20,1;19,6;20,5;20;19,9;19,2;97;94;97;137;5,9;2,2;
2021/01/02;0100 UTC;,4;928,3;928,3;927,8;;19,9;19,3;20,2;19,8;19,8;19,2;98;96;96;127;5,8;2,4;
2021/01/02;0200 UTC;0;928,5;928,5;928,2;;19,8;19,4;20,1;19,8;19,6;19,3;97;96;97;122;7,1;3,3;
2021/01/02;0300 UTC;,2;928;928,5;927,9;;19,4;18,9;19,9;19,3;19,5;18,8;98;97;97;117;7;3,4;
2021/01/02;0400 UTC;0;927,5;928,1;927,4;;19,5;19,1;19,5;19,3;19,1;18,9;98;97;98;133;6,9;2,4;
2021/01/02;0500 UTC;0;926,9;927,5;926,9;;19,6;19,2;19,6;19,4;19,2;18,9;98;97;98;124;6,1;1,8;
2021/01/02;0600 UTC;0;926,7;926,9;926,7;;19,2;18,7;19,7;19,1;19,3;18,6;98;97;97;132;6,5;2,1;
2021/01/02;0700 UTC;,2;926,7;926,8;926,7;;18,7;18,3;19,2;18,7;18,8;18,3;98;96;98;111;6,2;1,8;
2021/01/02;0800 UTC;0;927,1;927,1;926,7;;18,7;18,4;18,8;18,6;18,4;18,3;98;98;98;129;5,1;2,3;
2021/01/02;0900 UTC;0;927,4;927,4;927,1;3,6;18,6;18,2;18,8;18,5;18,4;18,1;98;98;98;136;5,1;1,9;
2021/01/02;1000 UTC;0;927,3;927,4;927;160,4;18,7;18,2;18,8;18,5;18,4;18,1;98;97;97;125;6,1;1,5;
2021/01/02;1100 UTC;0;927,3;927,4;927,2;215,2;18,8;18,3;19;18,6;18,5;18,1;97;96;97;122;4,3;2,1;
2021/01/02;1200 UTC;0;927,4;927,4;927,2;623,5;19,3;18,6;19,4;18,7;18,9;18,3;98;95;96;118;4,6;2;
2021/01/02;1300 UTC;0;927,9;927,9;927,4;702,7;19,9;18,4;20,4;19,3;19,2;18,3;96;91;91;143;4,2;1,8;
2021/01/02;1400 UTC;0;928,1;928,1;927,9;592,7;19,8;19,2;20,1;19,4;19,2;18,5;97;91;96;163;4,6;1,7;
2021/01/02;1500 UTC;0;927,7;928,1;927,7;668,2;20,2;19;20,3;19,6;19,4;18,5;96;91;92;175;4,7;1,8;
2021/01/02;1600 UTC;0;926,9;927,7;926,9;1503,3;21,4;18,8;22,3;20,2;19,9;18,4;93;82;85;151;5,5;2,7;
2021/01/02;1700 UTC;0;926,5;926,9;926,5;933,6;21,3;19;21,7;20,5;19,5;18,6;90;85;87;125;7,6;2,9;
2021/01/02;1800 UTC;0;925,8;926,5;925,8;868,8;20,6;18,7;21,3;19,9;19,2;18,4;94;85;89;155;6,8;3;
2021/01/02;1900 UTC;0;925,5;925,8;925,4;594,2;19,8;18,8;20,9;19,5;19,3;18,5;96;87;94;120;6,8;2,6;
2021/01/02;2000 UTC;0;925,3;925,5;925,2;789,2;19,6;18,7;20,4;19,6;19;18,3;95;89;95;116;6,4;2,1;
2021/01/02;2100 UTC;0;924,7;925,3;924,7;308,5;19,4;18,1;19,7;19,3;19;18,1;97;92;92;139;6,3;2,5;
2021/01/02;2200 UTC;0;925,4;925,5;924,7;58,4;19,1;18,6;19,6;19;18,7;18,1;97;92;97;140;6,2;2,9;
2021/01/02;2300 UTC;0;926,2;926,2;925,3;;19;18,4;19,2;18,8;18,6;18,3;97;95;97;146;7,3;2,7;
