REGIAO:;S
UF:;PR
ESTACAO:;CURITIBA
CODIGO (WMO):;A807
LATITUDE:;-25,4486111
LONGITUDE:;-49,23055554
ALTITUDE:;922,91
DATA DE FUNDACAO:;28/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;910,7;910,7;910,3;;20,5;17,5;21,4;20,5;17,5;17,1;83;76;83;299;5,1;1,8;
2021/01/01;0100 UTC;0;910,7;910,8;910,5;;19,9;;20,5;19,9;;;;;;272;4,1;1,5;
2021/01/01;0200 UTC;0;910,8;910,8;910,6;;19,7;;19,9;19,7;;;;;;263;3,2;1;
2021/01/01;0300 UTC;0;910,7;910,9;910,6;;19,6;;19,7;19,6;;;;;;9;2,6;0;
2021/01/01;0400 UTC;0;910,6;910,7;910,5;;19,9;;19,9;19,5;;;;;;182;2,4;,6;
2021/01/01;0500 UTC;,4;910,5;910,6;910,3;;18;15,5;20;18;;;;;85;92;6;1,5;
2021/01/01;0600 UTC;,2;909,9;910,5;909,5;;18;;18,2;17,8;18,1;15,7;100;85;;243;4,7;,9;
2021/01/01;0700 UTC;0;910,4;910,4;909,9;;17,7;;18,3;17,6;;;;;;154;5;,3;
2021/01/01;0800 UTC;0;911,2;911,2;910,4;33,3;18,3;;18,3;17,6;;;;;;121;3,4;1,2;
2021/01/01;0900 UTC;0;911,7;911,7;911,2;268,2;18,9;;19;18,3;;;;;;102;5,6;1,9;
2021/01/01;1000 UTC;0;912,1;912,1;911,7;583,9;20,3;17,3;20,3;18,9;;;;;83;75;3,7;1,6;
2021/01/01;1100 UTC;0;912,5;912,5;912,1;848,6;21;17,2;21,2;20,3;17,5;16,8;83;77;79;82;5,1;1,7;
2021/01/01;1200 UTC;0;912,9;912,9;912,5;572,5;21;17,6;21,5;20,8;17,6;16,6;81;76;81;113;5;1,1;
2021/01/01;1300 UTC;,8;913,2;913,2;912,9;621,6;20;;21;19,5;;;;;;113;4,1;1,5;
2021/01/01;1400 UTC;0;912,8;913,2;912,8;2513,2;22,8;18,3;23,1;19,7;;;;;76;102;6,1;2,4;
2021/01/01;1500 UTC;0;912,5;912,9;912,5;2337,6;23,2;17,8;24,1;22,1;19,4;17,2;79;69;72;106;7,9;2,9;
2021/01/01;1600 UTC;,2;912,3;912,5;912,3;1204,5;21,6;17,5;24,3;21,3;18,7;17,1;79;68;77;111;7,9;3,4;
2021/01/01;1700 UTC;0;911,5;912,3;911,5;1908,1;22,5;17;23,6;21,6;18,5;16,8;78;68;71;83;7,6;3,1;
2021/01/01;1800 UTC;0;911,3;911,7;911,3;1031,9;21,7;16,9;23;21,3;17,5;16,6;76;70;74;109;7,8;2,5;
2021/01/01;1900 UTC;0;911,2;911,4;911,1;438,8;20,5;16,5;22;20,4;17,3;16,3;78;74;78;104;7,6;2,7;
2021/01/01;2000 UTC;0;911,7;911,7;911,1;289,2;19,9;16,2;20,9;19,9;16,9;16,1;80;76;79;84;7,2;3,1;
2021/01/01;2100 UTC;0;912,2;912,2;911,7;85,4;19,3;16;20;19,3;16,4;15,9;81;79;81;93;7,9;3,4;
2021/01/01;2200 UTC;0;912,6;912,6;911,9;,4;18,8;16,5;19,3;18,8;16,5;16;86;81;86;102;7,1;2,2;
2021/01/01;2300 UTC;0;913,3;913,4;912,6;;18,6;18,6;18,8;18,6;18,6;16,6;100;86;100;106;5,3;2,2;
2021/01/02;0000 UTC;0;913,1;913,3;913;;18,3;;18,7;18,3;18,7;17,8;100;95;;110;6,2;3,2;
2021/01/02;0100 UTC;0;913,6;913,6;913;;18,1;;18,3;18;;;;;;116;7;2,3;
2021/01/02;0200 UTC;0;913,2;913,6;913,2;;17,4;;18,1;17,4;;;;;;115;4,8;2,1;
2021/01/02;0300 UTC;0;912,7;913,3;912,7;;17,3;;17,4;17,2;;;;;;117;4,3;1,4;
2021/01/02;0400 UTC;0;912,1;912,7;912,1;;17,1;;17,4;17;;;;;;115;3,8;1;
2021/01/02;0500 UTC;0;912;912,2;912;;17;;17,2;17;;;;;;114;5,2;1,1;
2021/01/02;0600 UTC;0;911,8;912;911,7;;16,8;;17;16,8;;;;;;105;3,5;,2;
2021/01/02;0700 UTC;0;911,9;911,9;911,6;;17,2;;17,3;16,8;;;;;;80;5;2,5;
2021/01/02;0800 UTC;0;912,2;912,2;911,9;23,8;17,3;;17,4;17,2;;;;;;77;5;1,6;
2021/01/02;0900 UTC;0;912,7;912,7;912,2;223,2;17,9;17,6;17,9;17,3;;;;;98;75;4,3;2,1;
2021/01/02;1000 UTC;0;913,1;913,1;912,7;538,9;18,8;16;18,9;17,9;17,9;15,7;100;84;84;71;4,3;1,3;
2021/01/02;1100 UTC;0;913,4;913,4;913,1;790,2;19,9;16;20,1;18,8;16,5;15,4;84;78;78;89;4,5;1,6;
2021/01/02;1200 UTC;0;913,4;913,4;913,3;1273,9;20,9;16,4;21;19,2;17,2;15,7;82;76;76;108;4,3;,8;
2021/01/02;1300 UTC;0;913;913,4;913;1747,6;21,9;16,9;21,9;20,6;16,9;15,9;77;72;73;91;3,9;1,1;
2021/01/02;1400 UTC;0;912,3;913;912,3;1916,1;22,7;17;22,9;21,4;17,3;16,1;73;67;70;72;5,1;1,8;
2021/01/02;1500 UTC;0;911,5;912,3;911,5;2428,9;23;16,4;24,5;22;17,8;15,8;71;63;66;46;6,4;2,7;
