REGIAO:;S
UF:;PR
ESTACAO:;PARANAPOEMA
CODIGO (WMO):;A850
LATITUDE:;-22,65833333
LONGITUDE:;-52,13444444
ALTITUDE:;308,7
DATA DE FUNDACAO:;04/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;,4;978,3;978,3;978,1;;22,7;20,9;22,8;22,6;20,9;20,7;89;89;89;51;3,4;2,3;
2021/01/01;0100 UTC;,4;977,9;978,4;977,9;,6;22,5;20,5;22,8;22,2;20,9;20,3;89;89;89;50;6,1;1,1;
2021/01/01;0200 UTC;0;977,3;977,9;977,3;;22,4;20,6;22,6;22,3;20,6;20,4;89;89;89;71;2;0;
2021/01/01;0300 UTC;0;977,1;977,3;977,1;;22,2;20,4;22,4;22,2;20,6;20,4;89;89;89;63;2,4;,8;
2021/01/01;0400 UTC;0;977,2;977,5;977;;22,3;20,5;22,4;22,2;20,6;20,4;90;89;90;35;2,1;1,3;
2021/01/01;0500 UTC;0;976,9;977,2;976,9;;22;20,3;22,3;22;20,6;20,3;90;90;90;327;2,4;,5;
2021/01/01;0600 UTC;0;976,6;976,9;976,5;;21,7;20,1;22;21,6;20,3;20;91;90;91;281;1,2;,5;
2021/01/01;0700 UTC;0;976,5;976,7;976,5;;21,4;19,8;21,8;21,4;20,1;19,7;91;90;91;356;2,4;1,5;
2021/01/01;0800 UTC;0;976,9;976,9;976,5;;21,4;19,9;21,6;21,2;20;19,6;91;91;91;280;2,4;,4;
2021/01/01;0900 UTC;0;977,6;977,7;976,9;2,5;21,5;19,9;21,5;21,3;20;19,8;91;91;91;294;2,4;1,1;
2021/01/01;1000 UTC;0;978,2;978,2;977,6;150,3;22,3;20,7;22,3;21,5;20,8;20;91;91;91;307;2,4;1,2;
2021/01/01;1100 UTC;0;978,5;978,5;978,2;477,2;23,3;21,5;23,3;22,3;21,5;20,8;91;90;90;322;2,1;,5;
2021/01/01;1200 UTC;0;978,9;978,9;978,4;853,7;24;21,6;24,1;23,3;22;21,3;90;86;87;3;2,7;,8;
2021/01/01;1300 UTC;0;978,9;979;978,9;1346,1;24,9;22;25,4;23,7;22,6;21,2;87;83;84;56;3,3;1,9;
2021/01/01;1400 UTC;0;978,8;978,9;978,7;2776,7;26,8;23,2;27,6;24,9;24,2;22,2;85;79;80;58;3,6;2,3;
2021/01/01;1500 UTC;0;978,8;978,9;978,8;3096,8;28,4;23,6;28,8;26,6;24,2;22,6;80;74;75;62;4,3;2,1;
2021/01/01;1600 UTC;0;978,4;978,8;978,4;3849,1;29,8;23,5;29,8;27,8;24,3;22,1;75;68;69;65;4;1,7;
2021/01/01;1700 UTC;0;977,5;978,4;977,5;3799,1;30,3;22,7;30,6;29,4;23,9;21,8;69;63;64;59;5;1,9;
2021/01/01;1800 UTC;0;976,2;977,5;976,2;3435,8;31,4;22,2;31,6;30,2;23,1;21,7;64;58;58;58;6,4;3;
2021/01/01;1900 UTC;0;975,2;976,2;975,1;2969,7;31,8;22;32,1;30,8;22,7;21,3;59;55;56;66;6,5;3,7;
2021/01/01;2000 UTC;0;974,7;975,2;974,6;2196;30,8;20,7;32;30,8;22,3;20,7;57;54;55;72;7,3;4,3;
2021/01/01;2100 UTC;0;974,8;974,8;974,6;1317,5;31,6;19,5;32,1;30,4;21,7;19;57;47;49;26;6,1;2,8;
2021/01/01;2200 UTC;0;975,1;975,2;974,8;468;29;19,4;31,6;29;19,4;18,8;56;48;56;58;5,2;2,3;
2021/01/01;2300 UTC;0;975,7;975,7;975,1;8,7;26,8;20,4;29;26,8;20,6;19,3;68;56;68;332;3,6;1,2;
2021/01/02;0000 UTC;0;975,6;975,7;975,5;;25,5;20,5;26,8;25,5;20,6;20,2;74;68;74;319;2,2;,1;
2021/01/02;0100 UTC;0;976,4;976,4;975,6;;24,6;20,8;25,5;24,5;20,9;20,3;80;74;79;304;1,7;,2;
2021/01/02;0200 UTC;0;976,9;977;976,4;;24,6;20,3;24,6;24;21;20,3;81;77;77;286;2,1;1,2;
2021/01/02;0300 UTC;0;976,7;977;976,7;;23,7;20;24,6;23,5;20,3;19,6;80;77;80;356;2,9;,1;
2021/01/02;0400 UTC;0;976,1;976,8;976,1;;23,3;20,2;23,7;23,2;20,3;20;83;80;83;308;1,3;,3;
2021/01/02;0500 UTC;0;976,1;976,2;975,9;;22,6;19,9;23,3;22,6;20,3;19,8;85;83;85;286;1,4;,6;
2021/01/02;0600 UTC;0;976,2;976,4;976,1;;22,8;20,2;23;22,5;20,3;19,9;85;85;85;289;4,2;2,2;
2021/01/02;0700 UTC;0;976,4;976,4;976;;23;20,4;23;22,7;20,4;20,1;86;85;86;286;4,5;2,7;
2021/01/02;0800 UTC;0;976,7;976,8;976,4;;23,1;20,5;23,1;22,9;20,6;20,4;86;86;86;284;4,7;1,8;
2021/01/02;0900 UTC;0;977;977;976,7;3,6;22,7;20,3;23,1;22,7;20,6;20,2;86;86;86;276;6,9;4,8;
2021/01/02;1000 UTC;0;977,6;977,6;977;326,9;23,6;20,7;23,6;22,7;20,8;20,3;86;84;84;281;7,1;4,5;
2021/01/02;1100 UTC;0;977,9;977,9;977,6;1126,2;25;21,2;25,1;23,5;21,5;20,6;84;80;80;284;7,5;4,6;
2021/01/02;1200 UTC;0;978;978,1;977,8;1912,7;26;21,6;26,6;25;22,3;21,1;80;76;77;294;6,6;3,8;
2021/01/02;1300 UTC;0;977,7;978,1;977,7;2735,4;27,6;22,3;28;25,9;22,9;21,4;77;73;73;300;6,2;2,6;
2021/01/02;1400 UTC;0;977,5;977,7;977,5;2896,2;28,2;21,8;29,6;27,5;23,7;21,8;74;68;68;324;4,6;1,8;
2021/01/02;1500 UTC;0;977,3;977,6;977,3;3209,5;30,6;22,2;31,1;28,2;23,9;21,7;70;61;61;334;3,8;1,3;
2021/01/02;1600 UTC;0;976,3;977,3;976,3;3813,6;31,7;21,5;32,2;30,6;23,6;20,5;62;55;55;335;3,8;1,3;
2021/01/02;1700 UTC;0;975,3;976,3;975,3;2722,8;31,5;21,2;32;30,3;22,9;20,6;60;54;54;14;5,4;,6;
2021/01/02;1800 UTC;0;973,8;975,3;973,8;2923,4;32,6;20,4;33,1;31,3;22,6;19,6;57;47;49;303;4,4;2;
2021/01/02;1900 UTC;0;973;973,8;973;2209;31;21;33,4;30,9;22;18,5;57;44;55;277;10,5;6,6;
2021/01/02;2000 UTC;0;972,5;973;972,5;1878,6;30,4;20,1;31,6;29,9;21,9;20;58;54;54;278;10,5;4,7;
2021/01/02;2100 UTC;0;972,1;972,5;972;1087,2;30,5;21;31,2;30,1;21,2;19,8;58;52;57;276;6,4;4,2;
2021/01/02;2200 UTC;0;972,2;972,2;972;524,2;28,3;20,5;30,5;28,3;21;20,1;63;56;63;286;5,6;1,4;
2021/01/02;2300 UTC;0;972,8;972,8;972,2;8;26,5;20,7;28,3;26,5;20,7;20,4;70;63;70;274;3,6;2,6;
2021/01/03;0000 UTC;0;973,3;973,3;972,8;;26,6;21,2;26,6;25,9;21,2;20,7;73;70;72;310;3,5;,9;
2021/01/03;0100 UTC;0;974,1;974,1;973,3;;25,8;21,2;26,6;25,6;21,2;20,9;76;72;76;319;3;1,4;
2021/01/03;0200 UTC;0;973,9;974,2;973,9;;25,2;20,9;25,9;25,2;21,3;20,8;77;76;77;321;3,2;1,6;
2021/01/03;0300 UTC;0;973,6;973,9;973,5;;24,5;20,5;25,3;24,5;21,1;20,5;79;77;78;325;4,2;1,8;
2021/01/03;0400 UTC;0;973,2;973,6;973,2;;24,1;20,7;24,6;23,8;20,8;20,4;82;78;81;290;5,2;1,9;
2021/01/03;0500 UTC;0;972,9;973,2;972,8;;23,9;20,7;24,3;23,8;20,9;20,6;82;81;82;281;9;5,9;
2021/01/03;0600 UTC;0;973,1;973,1;972,8;;23,2;19,5;23,9;23,2;20,7;19,5;83;80;80;283;11,8;8,3;
2021/01/03;0700 UTC;0;973,5;973,6;973,1;;22,5;19,3;23,2;22,5;19,4;19,3;82;80;82;278;11,8;6,5;
2021/01/03;0800 UTC;0;974,1;974,1;973,5;;21,8;18,7;22,5;21,8;19,2;18,7;83;82;83;279;10,1;6,7;
2021/01/03;0900 UTC;0;974,6;974,6;974,1;3,2;21,6;18,4;22;21,5;18,8;18,3;83;82;82;275;10,8;7,2;
2021/01/03;1000 UTC;0;975,2;975,2;974,6;329,7;22,5;18,4;22,5;21,6;18,5;18,4;82;78;78;279;12;7,9;
2021/01/03;1100 UTC;0;976,1;976,1;975,2;1134,7;24;18,7;24,1;22,5;19,1;18,4;78;72;72;282;12;7,3;
2021/01/03;1200 UTC;0;976,4;976,5;976,1;1990,2;25,7;19,6;25,7;23,9;19,6;18,7;73;68;69;288;11,4;6,8;
2021/01/03;1300 UTC;0;976,5;976,7;976,4;2727,5;26,8;19,7;27,3;25,6;20,5;19;69;65;65;296;9,6;5,7;
2021/01/03;1400 UTC;0;976,1;976,5;976;3359,6;27,6;19,8;28,1;26,5;20,6;19,3;66;62;62;294;10,1;5,4;
2021/01/03;1500 UTC;0;975,4;976,1;975,4;3741,6;29;20,6;29,1;27,6;20,9;19,7;64;59;60;314;9,2;5;
2021/01/03;1600 UTC;0;974,7;975,4;974,7;3993,5;30,5;21,2;30,5;28,9;21,3;20;61;57;58;322;8,4;2,8;
2021/01/03;1700 UTC;0;973,8;974,7;973,8;3403,5;29,7;19,9;31,3;29,7;21,6;19,8;58;54;56;295;6,6;3,1;
2021/01/03;1800 UTC;0;972,8;973,8;972,8;3405;31,9;20,8;32,1;29,7;21,9;19,8;58;52;52;325;6,6;2,4;
2021/01/03;1900 UTC;0;971,5;972,8;971,5;2978,8;31,5;19,4;32;31;20,9;19,1;53;48;49;289;6,5;3,6;
2021/01/03;2000 UTC;0;970,8;971,5;970,7;1936,8;31,8;18,5;32,2;31,3;20;18,3;50;45;45;302;6,5;2,3;
2021/01/03;2100 UTC;0;970,7;971;970,7;1273,4;31,1;18,7;32,1;31,1;19,3;18,3;48;45;48;310;4,5;2;
2021/01/03;2200 UTC;0;971,1;971,1;970,6;441,9;28,5;20;31,2;28,5;20;18,5;60;47;60;278;4,3;2,1;
2021/01/03;2300 UTC;0;972,1;972,1;971,1;15,5;26,1;19,6;28,5;25,9;20;19,6;68;60;68;275;3,4;2,3;
2021/01/04;0000 UTC;0;973,2;973,2;972,1;;25,8;19,1;26,2;25,8;19,8;19,1;68;67;67;276;3,5;2,4;
