REGIAO:;S
UF:;PR
ESTACAO:;CIDADE GAUCHA
CODIGO (WMO):;A869
LATITUDE:;-23,359156
LONGITUDE:;-52,931912
ALTITUDE:;365,79
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;971,5;971,8;971,3;;22,1;19,9;22,2;21,8;20,7;19,9;92;87;87;223;3,7;,7;
2021/01/01;0100 UTC;0;971,6;971,7;971,5;;22;20,2;22,2;21,8;20,2;19,7;89;87;89;249;2,5;,6;
2021/01/01;0200 UTC;0;971,5;971,8;971,5;;21,9;20,6;22,1;21,9;20,6;20,2;92;89;92;221;2,8;,4;
2021/01/01;0300 UTC;0;971,1;971,5;971,1;;21,8;20,7;21,9;21,7;20,7;20,6;93;92;93;175;3,7;1,8;
2021/01/01;0400 UTC;0;970,4;971,1;970,4;;21,2;20,1;21,8;21,2;20,6;20,1;94;93;93;157;3,9;,2;
2021/01/01;0500 UTC;0;970,1;970,4;970;;20,7;19,7;21,3;20,7;20,2;19,6;94;93;94;206;2,1;,3;
2021/01/01;0600 UTC;0;969,8;970,1;969,8;;20,7;19,7;20,7;20,5;19,7;19,6;94;94;94;69;1,5;,9;
2021/01/01;0700 UTC;,2;970,1;970,1;969,7;;20,6;19,7;20,8;20;19,9;19,1;95;94;95;25;1,9;,8;
2021/01/01;0800 UTC;0;970,9;970,9;970,1;;20,3;19,5;20,6;20;19,7;19,1;95;94;95;353;2,3;,5;
2021/01/01;0900 UTC;0;971,5;971,5;970,9;3,8;20,4;19,6;20,6;20,3;19,8;19,5;95;95;95;344;1,8;0;
