REGIAO:;S
UF:;PR
ESTACAO:;MORRETES
CODIGO (WMO):;A873
LATITUDE:;-25,508935
LONGITUDE:;-48,808681
ALTITUDE:;50,31
DATA DE FUNDACAO:;13/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1400 UTC;0;1008,9;1008,9;1008,7;391,2;23,1;22,7;23,3;23;22,9;22,5;98;97;97;33;;0;
2021/01/01;1500 UTC;0;1008,7;1008,9;1008,7;898,1;24,5;23,1;24,5;22,9;23,4;22,5;98;92;92;16;0;0;
2021/01/01;1600 UTC;0;1008,6;1008,7;1008,5;1275;23,8;21,7;25,1;23,8;23,4;21,5;93;85;88;31;4,1;,2;
2021/01/01;1700 UTC;0;1008,5;1008,7;1008,5;607,3;22,8;21,8;24,1;22,7;22,4;21,7;95;87;95;67;4,1;0;
2021/01/01;1800 UTC;0;1007,9;1008,5;1007,9;442,5;22,8;22,4;23;22,6;22,4;21,8;97;94;97;34;0;0;
2021/01/01;1900 UTC;0;1007,5;1007,9;1007,5;719,2;23;22,4;23,5;22,8;23,1;22,4;98;96;96;33;2;0;
2021/01/01;2000 UTC;0;1007,4;1007,5;1007,3;287,2;22,4;22;23;22,4;22,4;21,9;98;96;97;35;4,1;1,9;
2021/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1100 UTC;0;1009,3;1009,3;1009;356,4;21,2;21,2;21,3;20,5;21,2;20,5;100;100;100;1;;0;
2021/01/02;1200 UTC;0;1009,5;1009,5;1009,3;726,9;22,2;22,1;22,3;21;22,2;21;100;99;99;285;0;0;
2021/01/02;1300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1400 UTC;0;1009,2;1009,7;1009,2;989,7;22,9;21,3;23,1;22,6;22,1;20,9;97;88;90;27;0;0;
2021/01/02;1500 UTC;0;1008,7;1009,2;1008,7;1427,9;25,2;22;25,2;22,9;22,4;20,4;91;80;82;35;0;0;
2021/01/02;1600 UTC;0;1007,8;1008,7;1007,8;1618,7;24,2;21,2;25,7;24;22,7;20,3;86;77;83;16;1,1;0;
2021/01/02;1700 UTC;0;1007,4;1007,8;1007,4;896,4;24,1;20,7;24,8;24,1;22,2;20,6;87;80;81;35;0;0;
2021/01/02;1800 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;1900 UTC;0;1006,1;1006,9;1006;286,2;22,6;20,6;22,9;22,4;20,7;20,1;90;85;89;45;4,3;,1;
2021/01/02;2000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;2100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;1000 UTC;0;1007,4;;;320,4;19,9;19,7;;;;;;;99;51;;0;
2021/01/03;1100 UTC;0;1007,9;1007,9;1007,3;870,5;22,2;20,6;22,2;19,9;20,8;19,7;99;91;91;59;0;0;
2021/01/03;1200 UTC;0;1008,2;1008,2;1007,9;2094,7;24,6;18,6;25,7;22,2;22,2;18,6;92;69;69;221;0;0;
2021/01/03;1300 UTC;0;1008,1;1008,2;1008;1694,2;25,2;18,8;25,7;24,3;21;18,6;78;68;68;256;0;0;
2021/01/03;1400 UTC;,2;1008;1008,1;1008;2119,7;26,8;19,7;26,9;25,1;21,5;18,1;76;62;65;22;0;0;
2021/01/03;1500 UTC;0;1007,8;1008;1007,8;2423,9;27,3;20,1;27,3;25,8;22;18;75;62;65;350;2,8;,1;
2021/01/03;1600 UTC;0;1007,5;1007,8;1007,5;2025,3;26,6;19,3;27,6;26,5;21,8;17,8;72;58;64;62;4,1;1,7;
2021/01/03;1700 UTC;0;1007,1;1007,5;1007,1;1540,8;25,3;19,4;27,7;25,2;20,6;19;73;61;70;48;6,4;3,4;
2021/01/03;1800 UTC;0;1006,9;1007,1;1006,9;1465,4;24,9;19,9;25,6;24,4;20,2;19,1;76;69;74;144;7,1;1,8;
2021/01/03;1900 UTC;0;1007;1007,1;1006,9;838,2;23,6;19,7;25,9;23,5;20,2;18,3;79;68;79;193;5,7;1,2;
2021/01/03;2000 UTC;0;1006,5;1007;1006,4;551,5;23,8;19;24,3;23,6;20;18,7;79;71;75;237;2,9;0;
2021/01/03;2100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;2200 UTC;0;1006,9;1007;1006,6;125,7;21,3;20,4;22,6;21,3;20,9;20,4;95;90;95;230;1,3;0;
2021/01/03;2300 UTC;0;1007,6;1007,7;1006,9;;20,9;20,4;21,3;20,9;20,5;20,4;97;95;97;353;1,5;,1;
2021/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0100 UTC;0;1008,3;1008,4;1008;;19,9;19,7;20,6;19,9;20,2;19,7;99;98;99;196;2,3;0;
2021/01/04;0200 UTC;0;1008;1008,5;1008;;19,6;19,5;19,9;19,6;19,7;19,4;99;99;99;189;1,3;0;
2021/01/04;0300 UTC;0;1007,7;1008,1;1007,6;;19,3;19,3;19,7;19,3;19,6;19,2;100;99;100;89;0;0;
2021/01/04;0400 UTC;0;1007,1;1007,7;1007,1;;18,8;18,8;19,4;18,8;19,3;18,8;100;100;100;247;0;0;
2021/01/04;0500 UTC;0;1006,5;1007,1;1006,4;;18,8;18,8;18,8;18,6;18,8;18,6;100;100;100;17;1,6;0;
2021/01/04;0600 UTC;0;1006,1;1006,5;1006,1;;18,5;18,5;18,8;18,5;18,8;18,5;100;100;100;199;1,8;0;
2021/01/04;0700 UTC;0;1006,3;1006,3;1006,1;;18,4;18,4;18,6;18,1;18,6;18,1;100;100;100;40;0;0;
2021/01/04;0800 UTC;0;1006,2;1006,5;1006,2;;18,2;18,2;18,6;18,2;18,6;18,2;100;100;100;328;0;0;
2021/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;1000 UTC;0;1006,9;;;353,9;19,5;19,4;;;;;;;100;252;;0;
2021/01/04;1100 UTC;0;1006,9;1006,9;1006,7;1480,3;23,6;22;23,6;19,3;22,5;19,3;100;91;91;295;0;0;
2021/01/04;1200 UTC;0;1006,8;1006,9;1006,7;2217,4;26;20,6;26;23,6;22,4;19,1;91;67;72;272;1,2;,1;
2021/01/04;1300 UTC;0;1006,8;1006,9;1006,7;2364,3;25,6;19,5;27,1;24,8;20,8;18,4;74;61;69;22;4,1;1,5;
