REGIAO:;S
UF:;PR
ESTACAO:;GENERAL CARNEIRO
CODIGO (WMO):;A875
LATITUDE:;-26,3986111
LONGITUDE:;-51,35361111
ALTITUDE:;1009,01
DATA DE FUNDACAO:;30/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;900,9;900,9;900;;19,5;19;20;19,1;19,3;18,4;97;96;97;29;,7;0;
2021/01/01;0100 UTC;0;901,6;901,7;900,9;;19,6;19,1;19,7;19,3;19,2;18,8;97;97;97;333;,6;0;
2021/01/01;0200 UTC;0;901,8;901,8;901,6;;19;18,5;19,8;19;19,3;18,5;97;97;97;303;0;0;
2021/01/01;0300 UTC;0;901,5;901,9;901,5;;18,1;17,7;19;18;18,5;17,6;97;97;97;290;0;0;
2021/01/01;0400 UTC;0;901,2;901,6;901,1;;17;16,6;18,2;17;17,7;16,6;97;97;97;131;,7;0;
2021/01/01;0500 UTC;0;900,8;901,3;900,8;;17,7;17,3;17,8;17;17,4;16,6;97;97;97;166;1,3;,2;
2021/01/01;0600 UTC;0;900,6;900,8;900,5;;18;17,6;18;17,5;17,6;17;97;97;97;67;1,3;0;
2021/01/01;0700 UTC;0;900,9;900,9;900,5;0;18,3;17,9;18,3;18;17,9;17,6;97;97;97;313;0;0;
2021/01/01;0800 UTC;0;901,4;901,4;900,9;;18;17,6;18,5;18;18,1;17,6;97;97;97;284;0;0;
2021/01/01;0900 UTC;0;901,9;901,9;901,4;10,2;18,4;18;18,4;17,9;18;17,5;97;97;97;347;0;0;
2021/01/01;1000 UTC;0;902,1;902,1;901,8;281,4;18,8;18,4;18,9;18,4;18,5;18;97;97;97;291;1,1;0;
2021/01/01;1100 UTC;0;902,8;902,8;902,1;674,1;19,8;19,4;19,8;18,8;19,4;18,4;97;97;97;181;1,5;0;
2021/01/01;1200 UTC;0;902,9;903;902,8;1017,1;21,7;20,2;21,7;19,8;20,9;19,4;97;90;91;27;2,2;,8;
2021/01/01;1300 UTC;0;903;903;902,9;1317,8;23,8;18,8;24,1;21,7;20,5;18,7;91;74;74;99;2,2;0;
2021/01/01;1400 UTC;0;902,8;903;902,8;2308,5;24,4;19,4;25,4;23,6;21,1;18,5;80;68;74;53;3,3;,8;
2021/01/01;1500 UTC;0;902,4;902,8;902,4;2716;26,7;18,6;28;24,2;21,8;17,4;77;56;61;322;4,3;,8;
2021/01/01;1600 UTC;0;902,2;902,5;902,2;1326,5;26,4;19;27,1;25,9;20,8;18;73;59;64;338;3;0;
2021/01/01;1700 UTC;0;901,5;902,2;901,5;1966,3;26,9;19,1;28,4;26,4;21,3;15,7;68;48;62;81;3,5;1;
2021/01/01;1800 UTC;0;900,8;901,5;900,8;2797,1;27,8;17,7;29,6;26,9;20,2;16,3;64;47;54;205;4,6;1,9;
2021/01/01;1900 UTC;0;900,5;900,8;900,4;2310,3;29,1;18,2;29,8;27;19,7;16,2;63;47;52;188;6,6;2,4;
2021/01/01;2000 UTC;0;900,3;900,5;900,1;2119,4;28;17,5;29,4;27;18,9;16,3;57;47;53;144;7,3;2,3;
2021/01/01;2100 UTC;0;900,6;900,6;900,3;1406,4;28,4;17,4;28,7;27,5;18,6;16,5;56;49;51;154;5,5;1,3;
2021/01/01;2200 UTC;0;901,3;901,3;900,6;402,3;24,2;18,1;28,4;24,2;18,9;16,9;69;50;69;72;6,1;2,4;
2021/01/01;2300 UTC;0;902,1;902,1;901,3;19,5;22,6;17,8;24,2;22,6;18,7;17,8;78;69;74;90;6,1;,9;
