REGIAO:;S
UF:;RS
ESTACAO:;IBIRUBA
CODIGO (WMO):;A883
LATITUDE:;-28,653458
LONGITUDE:;-53,111881
ALTITUDE:;455,27
DATA DE FUNDACAO:;13/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;961;961;960,1;;20,4;13,4;21,6;20,3;14,1;13,4;67;60;64;211;3,7;2,2;
2021/01/01;0100 UTC;0;961,7;961,7;961;;19;13,6;20,4;19;13,6;13,3;71;64;71;209;3,7;1,5;
2021/01/01;0200 UTC;0;962,1;962,1;961,7;;17,7;13,2;19;17,7;13,8;13,1;75;71;75;181;3,3;,7;
2021/01/01;0300 UTC;0;962,1;962,2;962;;17,4;13;17,9;17,3;13,4;12,9;77;75;75;175;2,2;,9;
2021/01/01;0400 UTC;0;961,8;962,2;961,8;;16,7;12,9;17,6;16,3;13,2;12,9;81;75;78;216;2,5;,7;
2021/01/01;0500 UTC;0;961,6;961,8;961,6;;16,4;12,2;17,1;16,2;12,9;12,2;79;75;76;153;3,1;1,5;
2021/01/01;0600 UTC;0;961,4;961,7;961,4;;15,9;12,2;16,6;15,7;12,3;11,6;79;74;79;120;4,1;2,5;
2021/01/01;0700 UTC;0;961,6;961,6;961,3;;15,9;13,7;16,1;15,7;13,7;12,2;87;79;87;105;4,5;2,1;
2021/01/01;0800 UTC;0;962,5;962,6;961,6;;14,9;13,6;15,9;14,8;13,9;13,2;92;87;92;148;3,6;1,1;
2021/01/01;0900 UTC;0;963;963;962,5;12,1;15,3;14,4;15,3;14,7;14,4;13,5;94;92;94;144;4,4;1,2;
2021/01/01;1000 UTC;0;963,8;963,8;963;391,1;17,2;14,6;17,2;15,3;14,8;14,4;94;85;85;113;5,2;2,8;
2021/01/01;1100 UTC;0;964,2;964,2;963,8;1286;19;14,8;19;17,2;14,8;14,2;85;76;77;92;7,7;4,1;
2021/01/01;1200 UTC;0;964,4;964,5;964,2;2143,5;20,3;14,5;20,8;18,9;15,3;14,1;77;67;69;97;8,2;3,8;
2021/01/01;1300 UTC;0;964,4;964,6;964,3;2878,9;22,8;15,7;22,9;20,3;16,2;14,4;73;64;64;88;6,9;2,3;
2021/01/01;1400 UTC;0;964,3;964,6;964,3;3391,3;24;15,7;24,2;22,7;16,5;14,3;66;58;60;121;5,6;2,1;
2021/01/01;1500 UTC;0;964,1;964,4;964,1;3826,5;26;15,4;26;23,7;16,6;13,5;61;49;52;140;4,9;1,7;
2021/01/01;1600 UTC;0;963,7;964,1;963,7;3929,8;25,8;12,2;26,7;24,6;15;11,9;53;41;43;167;6,7;1,8;
2021/01/01;1700 UTC;0;963,1;963,7;963,1;3827,2;26,5;12,1;27,5;25,3;14,8;10,5;48;37;41;128;4,8;1,4;
