REGIAO:;S
UF:;RS
ESTACAO:;TUPANCIRETA
CODIGO (WMO):;A886
LATITUDE:;-29,0893814
LONGITUDE:;-53,82665025
ALTITUDE:;462
DATA DE FUNDACAO:;11/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;960,9;960,9;960,4;;17,5;10,8;19;17,5;10,9;10,4;65;58;65;191;3,7;1,6;
2021/01/01;0100 UTC;0;961,6;961,6;960,8;;15,9;10,4;17,5;15,8;10,7;10,4;71;64;70;200;3,7;1,4;
2021/01/01;0200 UTC;0;962,1;962,1;961,6;;15,8;9,9;15,9;15,4;10,6;9,9;72;68;68;178;2,4;,6;
2021/01/01;0300 UTC;0;961,9;962,2;961,9;;15;9,6;15,8;14,9;10,2;9,6;73;68;70;168;2,1;,6;
2021/01/01;0400 UTC;0;961,7;961,9;961,7;;14,9;9,3;15,2;14,9;9,6;9,3;70;68;69;180;1,4;,5;
2021/01/01;0500 UTC;0;961,3;961,7;961,3;;14,6;9,3;14,9;14,2;9,7;9,2;74;69;71;168;2,6;1,5;
2021/01/01;0600 UTC;0;961,3;961,4;961,2;;16,7;10;16,8;14,6;10,1;8,7;71;62;64;93;6,1;2,5;
2021/01/01;0700 UTC;0;961,8;961,8;961,3;;16;12,1;16,7;16;12,1;10;78;64;78;114;6,5;1,9;
2021/01/01;0800 UTC;0;962,5;962,5;961,8;;16;13,1;16;15,8;13,1;12,1;83;78;83;110;6,2;2,5;
2021/01/01;0900 UTC;0;962,9;962,9;962,4;8,5;16;13,2;16,2;16;13,2;13,1;84;82;84;82;8,1;3,3;
2021/01/01;1000 UTC;0;963,4;963,4;962,9;350,5;17,2;13,5;17,2;15,9;13,6;13,2;84;79;79;81;8,8;3,9;
2021/01/01;1100 UTC;0;963,8;963,8;963,4;1278,8;19,3;14,3;19,3;17,1;14,5;13,4;80;72;73;64;9,7;3,2;
2021/01/01;1200 UTC;0;964,1;964,2;963,8;2151,5;20,9;13,2;21;19;14,5;13,1;73;61;62;61;9,9;3,1;
2021/01/01;1300 UTC;0;964,3;964,3;964,1;2920,3;22,9;14,5;22,9;20,9;14,5;12,3;64;54;59;61;8;2,8;
2021/01/01;1400 UTC;0;964,3;964,5;964,2;3563,7;24,3;14,1;24,7;22,2;14,8;12,4;59;49;53;52;7,1;2,2;
2021/01/01;1500 UTC;0;963,9;964,3;963,8;3957,1;24,4;11,6;25,3;23,5;14,1;11,5;53;44;45;77;6,9;2,2;
2021/01/01;1600 UTC;0;963,4;963,9;963,4;4085,5;25,7;11,4;26,1;24,3;13,3;10,6;49;39;41;103;6,5;2,2;
2021/01/01;1700 UTC;0;963,1;963,4;963;3975,5;27,1;11,3;27,5;25,7;12,9;9,7;43;35;37;89;5,3;1,4;
2021/01/01;1800 UTC;0;962,4;963,1;962,4;3603,6;27,4;9,5;27,7;26,5;12,8;8,7;41;31;32;148;5,6;1,9;
2021/01/01;1900 UTC;0;961,8;962,5;961,8;3085,6;27,4;11,2;28,1;26,9;12,5;9;39;31;37;166;4,5;1,7;
2021/01/01;2000 UTC;0;961,4;961,8;961,3;2356,3;27,4;11,7;28,4;27,2;12,8;9,6;40;31;38;146;5,4;2,2;
