REGIAO:;S
UF:;RS
ESTACAO:;SAO VICENTE DO SUL
CODIGO (WMO):;A889
LATITUDE:;-29,70222222
LONGITUDE:;-54,69444444
ALTITUDE:;134
DATA DE FUNDACAO:;06/04/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;997,9;997,9;997,5;;21;8,7;22,4;20,7;8,8;6,9;46;37;45;170;3,4;1,5;
2021/01/01;0100 UTC;0;998,4;998,4;997,9;;20,5;8,7;21,2;20,1;11;7,6;56;41;47;162;2,9;1;
2021/01/01;0200 UTC;0;998,7;998,7;998,4;;19,2;9,4;20,5;19,1;10,5;8,6;55;47;53;167;2,2;1,3;
2021/01/01;0300 UTC;0;999,1;999,1;998,7;;19,7;8;19,9;18,8;10,8;8;61;47;47;186;2,3;1,2;
2021/01/01;0400 UTC;0;998,7;999,1;998,7;;17,2;9,6;19,7;16,8;12,3;8;75;47;61;348;2,3;,6;
2021/01/01;0500 UTC;0;998,4;998,8;998,4;;16;10,6;17,2;16;10,7;9,6;70;61;70;208;1,4;,2;
2021/01/01;0600 UTC;0;999;999;998,4;;14,6;10,9;16,1;14;11,6;10,5;85;70;79;131;3,3;2,2;
2021/01/01;0700 UTC;0;999,3;999,3;998,9;;14,9;11,5;15,4;14,6;11,6;10,9;81;77;80;117;5,1;3,4;
2021/01/01;0800 UTC;0;999,7;999,7;999,2;;15,8;13;15,8;14,7;13,1;11,5;87;80;84;104;6,6;3,9;
2021/01/01;0900 UTC;0;1000,1;1000,3;999,7;10,1;14,5;12,5;15,9;14,5;13;12,4;88;82;87;115;6,6;2,3;
2021/01/01;1000 UTC;0;1000,7;1000,7;1000,1;425,5;16,9;13,9;16,9;14,5;13,9;12,5;88;81;82;109;6,5;4,1;
2021/01/01;1100 UTC;0;1001;1001,2;1000,7;1258,5;19,2;14,8;19,3;16,8;15;13,5;83;74;75;101;6,5;4;
2021/01/01;1200 UTC;0;1001,3;1001,3;1001;2207,1;22,1;14;22,3;19,2;15,5;13,6;75;59;60;93;6,5;3,1;
2021/01/01;1300 UTC;0;1001,3;1001,5;1001,2;2693,9;23,9;13,2;24,1;21,7;14,4;12,1;60;50;51;90;7,1;2,5;
2021/01/01;1400 UTC;0;1001,2;1001,4;1001,1;3434,4;25,2;10,7;25,5;23,7;14;10,2;53;40;40;104;7,6;4,5;
2021/01/01;1500 UTC;0;1000,9;1001,2;1000,9;3810,2;26,2;10,8;26,3;24,8;12,6;8,7;45;33;38;109;8,4;4,5;
2021/01/01;1600 UTC;0;1000,5;1000,9;1000,5;3968,6;27,2;9,2;27,4;26;10,8;8;39;31;32;111;8,6;3,9;
2021/01/01;1700 UTC;0;1000;1000,5;1000;3893,9;27,5;10,4;28,2;26,8;11,5;8,3;36;30;34;107;8,3;3,8;
2021/01/01;1800 UTC;0;999,5;1000,1;999,5;3600,5;28;9,6;28,6;27,3;11,3;8,9;36;31;32;117;7,2;4,6;
2021/01/01;1900 UTC;0;998,7;999,5;998,7;3108,1;28,7;6,9;29,1;28;11,4;6,9;35;25;25;120;8;4,9;
2021/01/01;2000 UTC;0;998,2;998,7;998,2;2442,2;28,5;8,9;28,9;28,2;9,9;6,8;31;26;29;99;7,9;4;
2021/01/01;2100 UTC;0;998,1;998,2;998;1626,7;28,1;8,2;28,7;28,1;9,7;7,7;32;27;29;117;8,8;5,1;
2021/01/01;2200 UTC;0;998,4;998,5;998,1;799,2;26,4;11,2;28,1;26,4;11,2;8,2;39;29;39;105;7,3;3,1;
2021/01/01;2300 UTC;0;998,8;998,8;998,4;100,9;23,7;12,5;26,4;23,7;12,6;11,1;50;38;49;128;4,3;1;
2021/01/02;0000 UTC;0;998,9;999;998,8;;22,1;13,1;23,7;22,1;13,1;11,9;56;49;56;140;1,7;,8;
2021/01/02;0100 UTC;0;999,2;999,3;998,9;;22;12,6;22,7;21,8;12,9;11,5;57;50;55;138;1,6;,7;
2021/01/02;0200 UTC;0;999,2;999,3;999,2;;21,2;12;22,1;20,9;14;10,7;64;50;56;185;2,3;,8;
2021/01/02;0300 UTC;0;999,3;999,3;999,1;;18,9;13,6;21,3;18,5;14,4;11,3;77;53;71;121;1,7;1,2;
2021/01/02;0400 UTC;0;998,9;999,3;998,9;;18,1;14;18,8;17,8;14,8;13,5;82;71;77;106;1,9;1,3;
2021/01/02;0500 UTC;0;999,2;999,2;998,9;;17,8;13,8;18,9;17,7;14,6;13,2;78;70;77;6;2;1,1;
2021/01/02;0600 UTC;0;999,3;999,4;999,2;;17,9;13,1;18;17,4;13,7;12,9;78;73;73;155;2;,3;
2021/01/02;0700 UTC;0;999,6;999,6;999,3;;16,9;13,8;18;16,9;14,1;12,8;82;73;82;74;2,6;,4;
2021/01/02;0800 UTC;0;1000,1;1000,1;999,6;;15,6;13,4;17;15,5;13,9;12,7;88;79;87;127;1,6;1,2;
2021/01/02;0900 UTC;0;1000,4;1000,4;1000,1;12,1;15,5;15,4;15,8;14,8;15,4;12,9;99;86;99;109;2,4;,7;
2021/01/02;1000 UTC;0;1000,6;1000,6;1000,4;411,4;18,7;14,4;18,8;15,5;15,7;14;100;76;76;115;2,1;1,4;
2021/01/02;1100 UTC;0;1001,2;1001,3;1000,6;1208,8;20,6;14,1;20,7;18,6;15,2;13,8;78;65;66;104;5,5;4,1;
2021/01/02;1200 UTC;0;1001,2;1001,3;1001,1;2059,3;22,8;12,8;23,1;20,6;14,3;12,4;67;52;53;105;7,5;4,7;
2021/01/02;1300 UTC;0;1001,1;1001,2;1001,1;2801,1;24,7;13,2;25;22,7;15;12,5;56;48;49;118;7,2;3,9;
2021/01/02;1400 UTC;0;1000,9;1001,1;1000,8;3385,3;26,7;14,1;27;24,7;14,9;12,9;54;44;46;111;7,3;3,7;
2021/01/02;1500 UTC;0;1000,1;1000,9;1000,1;3760,5;28,6;11,8;28,9;26,5;15,2;10,9;47;33;35;121;7,3;3,8;
2021/01/02;1600 UTC;0;999,5;1000,1;999,5;3900,6;29,3;9;29,8;28,6;13;9;38;28;28;137;7,5;4;
