REGIAO:;S
UF:;RS
ESTACAO:;CAMBARA DO SUL
CODIGO (WMO):;A897
LATITUDE:;-29,049125
LONGITUDE:;-50,149636
ALTITUDE:;1017
DATA DE FUNDACAO:;24/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;900,4;900,4;900,1;;15,9;15,9;16,2;15,9;16,2;15,9;100;100;100;76;6,1;2,5;
2021/01/01;0100 UTC;0;901;901;900,4;;15,5;15,5;15,9;15,4;15,9;15,4;100;100;100;85;6,1;2,8;
2021/01/01;0200 UTC;0;901,3;901,3;901;;15,3;15,3;15,5;15,3;15,5;15,3;100;100;100;107;6,9;3,1;
2021/01/01;0300 UTC;0;901,5;901,5;901,3;;14,9;14,9;15,4;14,9;15,4;14,9;100;100;100;117;6,4;2,1;
2021/01/01;0400 UTC;0;900,9;901,5;900,9;;14,2;14,2;14,9;14,2;14,8;14,2;100;100;100;124;4,9;2,9;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;0;902,8;902,9;902,6;2250,5;17,5;11,2;17,6;15,6;11,7;9,8;72;65;66;178;4,4;2,2;
2021/01/01;1300 UTC;0;902,8;903;902,8;2125,6;18;11,6;18,5;17,1;12,8;10,6;71;64;66;224;4,6;1,2;
2021/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;1600 UTC;0;902,7;902,9;902,7;3796,7;21,9;11,1;22,4;20,6;12,5;9,5;56;47;50;213;7,5;1,7;
2021/01/01;1700 UTC;0;902,8;902,8;902,7;2050,4;21,1;13,4;22,5;20,5;15,1;10,6;66;49;61;111;7,4;3,9;
2021/01/01;1800 UTC;0;902,7;902,8;902,5;3100,5;20,8;12;21,8;20,4;13,3;11,5;61;53;57;118;7,9;4,7;
2021/01/01;1900 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
